anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
yes,143,Rock'n'Roll-Beginners,Final,1,193,DF,2.0,2.0,1.0,"[12.5, 10.0, 7.5, 12.5, 8.75]"
,143,Rock'n'Roll-Beginners,Final,1,193,CO,1.02,2.0,0.51,"[9.0, 7.0, 8.0, 8.0, 6.0]"
,143,Rock'n'Roll-Beginners,Final,1,193,FM,0.73,2.0,0.365,"[6.5, 5.0, 5.0, 6.5, 5.0]"
yes,143,Rock'n'Roll-Beginners,Final,1,193,FW,12.88,12.0,1.0733333333333335,"[-35.0, -35.0, -50.0, -15.0, -50.0]"
,143,Rock'n'Roll-Beginners,Final,1,193,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Beginners,Final,1,193,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Beginners,Final,2,27,DF,1.46,2.0,0.73,"[11.25, 10.0, 8.75, 12.5, 12.5]"
,143,Rock'n'Roll-Beginners,Final,2,27,CO,0.75,2.0,0.375,"[9.0, 8.0, 9.0, 10.0, 10.0]"
,143,Rock'n'Roll-Beginners,Final,2,27,FM,1.28,2.0,0.64,"[7.5, 8.5, 5.0, 8.5, 7.5]"
,143,Rock'n'Roll-Beginners,Final,2,27,FW,9.7,12.0,0.8083333333333332,"[-35.0, -50.0, -50.0, -25.0, -35.0]"
,143,Rock'n'Roll-Beginners,Final,2,27,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Beginners,Final,2,27,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
yes,143,Rock'n'Roll-Beginners,Final,3,57,DF,2.32,2.0,1.16,"[13.75, 10.0, 8.75, 12.5, 7.5]"
yes,143,Rock'n'Roll-Beginners,Final,3,57,CO,2.28,2.0,1.14,"[11.0, 8.0, 5.0, 10.0, 6.0]"
,143,Rock'n'Roll-Beginners,Final,3,57,FM,1.44,2.0,0.72,"[7.5, 7.5, 5.0, 8.5, 5.0]"
,143,Rock'n'Roll-Beginners,Final,3,57,FW,11.22,12.0,0.935,"[-25.0, -35.0, -50.0, -25.0, -50.0]"
,143,Rock'n'Roll-Beginners,Final,3,57,sm,1.6,2.3,0.6956521739130436,"[-4.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Beginners,Final,3,57,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Beginners,Final,4,62,DF,0.0,2.0,0.0,"[-99.0, -99.0, -99.0, -99.0, -99.0]"
,143,Rock'n'Roll-Beginners,Final,4,62,CO,0.0,2.0,0.0,"[-99.0, -99.0, -99.0, -99.0, -99.0]"
,143,Rock'n'Roll-Beginners,Final,4,62,FM,0.0,2.0,0.0,"[-99.0, -99.0, -99.0, -99.0, -99.0]"
,143,Rock'n'Roll-Beginners,Final,4,62,FW,0.0,12.0,0.0,"[-1090.0, -1090.0, -1090.0, -1090.0, -1090.0]"
yes,143,Rock'n'Roll-Beginners,Final,4,62,sm,3.44,2.3,1.4956521739130435,"[-10.0, 0.0, -4.0, -2.0, -2.0]"
,143,Rock'n'Roll-Beginners,Final,4,62,bm,4.0,8.0,0.5,"[0.0, -10.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Beginners,Final,5,3,DF,1.94,2.0,0.97,"[12.5, 7.5, 8.75, 7.5, 7.5]"
,143,Rock'n'Roll-Beginners,Final,5,3,CO,1.17,2.0,0.585,"[8.0, 7.0, 9.0, 6.0, 6.0]"
,143,Rock'n'Roll-Beginners,Final,5,3,FM,1.46,2.0,0.73,"[6.5, 2.5, 5.0, 6.5, 5.0]"
yes,143,Rock'n'Roll-Beginners,Final,5,3,FW,12.25,12.0,1.0208333333333333,"[-25.0, -25.0, -50.0, -25.0, -50.0]"
,143,Rock'n'Roll-Beginners,Final,5,3,sm,0.98,2.3,0.42608695652173917,"[0.0, 0.0, -2.0, -2.0, 0.0]"
,143,Rock'n'Roll-Beginners,Final,5,3,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Beginners,Final,6,214,DF,1.46,2.0,0.73,"[12.5, 10.0, 11.25, 12.5, 8.75]"
,143,Rock'n'Roll-Beginners,Final,6,214,CO,1.02,2.0,0.51,"[10.0, 8.0, 9.0, 9.0, 7.0]"
