anomaly,category name,round,heat,couple,criteria,stdev,threshold,raw data
,Rock'n'Roll-Beginners,First round,1,214,DF,1.13,2.0,"[11.25, 10.0, 12.5, 11.25, 12.5, 13.75, 11.25]"
,Rock'n'Roll-Beginners,First round,1,214,CO,0.64,2.0,"[9.0, 10.0, 9.0, 9.0, 9.0, 8.0, 10.0]"
,Rock'n'Roll-Beginners,First round,1,214,FM,0.76,12.0,"[7.5, 8.5, 6.5, 7.5, 7.5, 8.5, 6.5]"
,Rock'n'Roll-Beginners,First round,1,214,FW,10.25,12.0,"[-25.0, -25.0, -50.0, -25.0, -25.0, -15.0, -35.0]"
,Rock'n'Roll-Beginners,First round,1,214,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,First round,1,214,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Beginners,First round,1,62,DF,2.22,2.0,"[8.75, 10.0, 7.5, 7.5, 10.0, 13.75, 12.5]"
,Rock'n'Roll-Beginners,First round,1,62,CO,1.25,2.0,"[8.0, 7.0, 6.0, 8.0, 9.0, 9.0, 10.0]"
,Rock'n'Roll-Beginners,First round,1,62,FM,0.94,12.0,"[6.5, 6.5, 5.0, 6.5, 6.5, 8.5, 6.5]"
yes,Rock'n'Roll-Beginners,First round,1,62,FW,17.26,12.0,"[-35.0, -25.0, -75.0, -35.0, -35.0, -15.0, -35.0]"
,Rock'n'Roll-Beginners,First round,1,62,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,First round,1,62,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,First round,2,27,DF,1.69,2.0,"[11.25, 13.75, 11.25, 13.75, 10.0, 15.0, 13.75]"
,Rock'n'Roll-Beginners,First round,2,27,CO,0.7,2.0,"[8.0, 10.0, 8.0, 9.0, 8.0, 9.0, 9.0]"
,Rock'n'Roll-Beginners,First round,2,27,FM,1.25,12.0,"[8.5, 7.5, 5.0, 7.5, 6.5, 9.0, 6.5]"
yes,Rock'n'Roll-Beginners,First round,2,27,FW,17.05,12.0,"[-25.0, -25.0, -75.0, -35.0, -50.0, -25.0, -35.0]"
,Rock'n'Roll-Beginners,First round,2,27,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,First round,2,27,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Beginners,First round,2,193,DF,2.4,2.0,"[11.25, 8.75, 15.0, 10.0, 10.0, 15.0, 13.75]"
,Rock'n'Roll-Beginners,First round,2,193,CO,1.28,2.0,"[10.0, 9.0, 11.0, 7.0, 10.0, 10.0, 11.0]"
,Rock'n'Roll-Beginners,First round,2,193,FM,1.04,12.0,"[6.5, 7.5, 6.5, 7.5, 5.0, 7.5, 5.0]"
yes,Rock'n'Roll-Beginners,First round,2,193,FW,12.49,12.0,"[-15.0, -35.0, -50.0, -25.0, -35.0, -10.0, -25.0]"
,Rock'n'Roll-Beginners,First round,2,193,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,First round,2,193,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,First round,3,55,DF,1.04,2.0,"[8.75, 8.75, 8.75, 8.75, 6.25, 10.0, 8.75]"
,Rock'n'Roll-Beginners,First round,3,55,CO,1.05,2.0,"[8.0, 6.0, 6.0, 6.0, 5.0, 7.0, 8.0]"
,Rock'n'Roll-Beginners,First round,3,55,FM,0.84,12.0,"[6.5, 5.0, 5.0, 6.5, 6.5, 7.5, 6.5]"
yes,Rock'n'Roll-Beginners,First round,3,55,FW,16.26,12.0,"[-35.0, -50.0, -75.0, -35.0, -35.0, -25.0, -25.0]"
,Rock'n'Roll-Beginners,First round,3,55,sm,0.99,2.3,"[0.0, 0.0, -2.0, 0.0, -2.0, -2.0, 0.0]"
,Rock'n'Roll-Beginners,First round,3,55,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Beginners,First round,3,192,DF,2.08,2.0,"[11.25, 10.0, 12.5, 11.25, 10.0, 16.25, 10.0]"
,Rock'n'Roll-Beginners,First round,3,192,CO,1.51,2.0,"[9.0, 7.0, 11.0, 7.0, 9.0, 11.0, 9.0]"
,Rock'n'Roll-Beginners,First round,3,192,FM,1.28,12.0,"[7.5, 6.5, 5.0, 6.5, 5.0, 8.5, 5.0]"
yes,Rock'n'Roll-Beginners,First round,3,192,FW,16.41,12.0,"[-25.0, -25.0, -75.0, -35.0, -35.0, -25.0, -35.0]"
,Rock'n'Roll-Beginners,First round,3,192,sm,0.7,2.3,"[0.0, 0.0, -2.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,First round,3,192,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,First round,4,131,DF,1.73,2.0,"[10.0, 10.0, 12.5, 7.5, 7.5, 8.75, 11.25]"
,Rock'n'Roll-Beginners,First round,4,131,CO,0.88,2.0,"[8.0, 8.0, 9.0, 6.0, 7.0, 8.0, 8.0]"
,Rock'n'Roll-Beginners,First round,4,131,FM,0.68,12.0,"[7.5, 6.5, 5.0, 6.5, 6.5, 6.5, 6.5]"
,Rock'n'Roll-Beginners,First round,4,131,FW,9.53,12.0,"[-35.0, -35.0, -50.0, -50.0, -25.0, -25.0, -35.0]"
,Rock'n'Roll-Beginners,First round,4,131,sm,0.9,2.3,"[-2.0, -2.0, -2.0, 0.0, -2.0, 0.0, -2.0]"
yes,Rock'n'Roll-Beginners,First round,4,131,bm,3.5,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, -10.0, 0.0]"
yes,Rock'n'Roll-Beginners,First round,4,3,DF,2.19,2.0,"[10.0, 8.75, 11.25, 6.25, 6.25, 12.5, 8.75]"
,Rock'n'Roll-Beginners,First round,4,3,CO,0.64,2.0,"[8.0, 7.0, 8.0, 7.0, 6.0, 7.0, 7.0]"
,Rock'n'Roll-Beginners,First round,4,3,FM,1.06,12.0,"[7.5, 5.0, 5.0, 6.5, 6.5, 7.5, 5.0]"
yes,Rock'n'Roll-Beginners,First round,4,3,FW,17.29,12.0,"[-35.0, -35.0, -75.0, -35.0, -50.0, -15.0, -50.0]"
,Rock'n'Roll-Beginners,First round,4,3,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,First round,4,3,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,1,131,DF,1.13,2.0,"[11.25, 12.5, 8.75, 10.0, 10.0, 10.0, 11.25]"
,Rock'n'Roll-Beginners,Final,1,131,CO,1.81,2.0,"[9.0, 9.0, 4.0, 7.0, 8.0, 5.0, 8.0]"
,Rock'n'Roll-Beginners,Final,1,131,FM,0.84,12.0,"[6.5, 6.5, 5.0, 6.5, 6.5, 7.5, 5.0]"
,Rock'n'Roll-Beginners,Final,1,131,FW,8.39,12.0,"[-25.0, -25.0, -50.0, -35.0, -35.0, -25.0, -35.0]"
,Rock'n'Roll-Beginners,Final,1,131,sm,0.99,2.3,"[-2.0, 0.0, -2.0, 0.0, -2.0, -2.0, 0.0]"
,Rock'n'Roll-Beginners,Final,1,131,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,2,192,DF,1.04,2.0,"[12.5, 11.25, 12.5, 11.25, 11.25, 13.75, 13.75]"
