anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,144,Rock'n'Roll-Beginners,First round,1,27,DF,0.93,2.0,0.465,"[11.25, 12.5, 10.0, 10.0, 10.0, 11.25]"
,144,Rock'n'Roll-Beginners,First round,1,27,CO,1.12,2.0,0.56,"[8.0, 10.0, 8.0, 8.0, 7.0, 10.0]"
,144,Rock'n'Roll-Beginners,First round,1,27,FM,1.26,2.0,0.63,"[5.0, 8.5, 6.5, 7.5, 6.5, 5.0]"
,144,Rock'n'Roll-Beginners,First round,1,27,FW,4.71,12.0,0.3925,"[-25.0, -35.0, -25.0, -35.0, -35.0, -35.0]"
,144,Rock'n'Roll-Beginners,First round,1,27,sm,0.75,2.3,0.32608695652173914,"[-2.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,144,Rock'n'Roll-Beginners,First round,1,27,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,144,Rock'n'Roll-Beginners,First round,1,55,DF,1.18,2.0,0.59,"[8.75, 6.25, 8.75, 8.75, 6.25, 8.75]"
,144,Rock'n'Roll-Beginners,First round,1,55,CO,0.69,2.0,0.345,"[7.0, 7.0, 8.0, 7.0, 6.0, 8.0]"
,144,Rock'n'Roll-Beginners,First round,1,55,FM,0.98,2.0,0.49,"[5.0, 7.5, 5.0, 6.5, 5.0, 6.5]"
,144,Rock'n'Roll-Beginners,First round,1,55,FW,7.5,12.0,0.625,"[-35.0, -35.0, -35.0, -50.0, -50.0, -50.0]"
yes,144,Rock'n'Roll-Beginners,First round,1,55,sm,3.27,2.3,1.4217391304347826,"[-4.0, 0.0, -10.0, -2.0, -2.0, -6.0]"
,144,Rock'n'Roll-Beginners,First round,1,55,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,144,Rock'n'Roll-Beginners,First round,2,3,DF,2.37,2.0,1.185,"[5.0, 6.25, 7.5, 11.25, 7.5, 11.25]"
,144,Rock'n'Roll-Beginners,First round,2,3,CO,1.91,2.0,0.955,"[7.0, 5.0, 8.0, 9.0, 4.0, 9.0]"
,144,Rock'n'Roll-Beginners,First round,2,3,FM,0.71,2.0,0.355,"[5.0, 5.0, 6.5, 6.5, 5.0, 5.0]"
,144,Rock'n'Roll-Beginners,First round,2,3,FW,9.32,12.0,0.7766666666666667,"[-50.0, -50.0, -50.0, -25.0, -50.0, -50.0]"
,144,Rock'n'Roll-Beginners,First round,2,3,sm,0.75,2.3,0.32608695652173914,"[0.0, 0.0, 0.0, 0.0, 0.0, -2.0]"
,144,Rock'n'Roll-Beginners,First round,2,3,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,144,Rock'n'Roll-Beginners,First round,2,192,DF,1.97,2.0,0.985,"[11.25, 8.75, 11.25, 10.0, 12.5, 15.0]"
yes,144,Rock'n'Roll-Beginners,First round,2,192,CO,2.03,2.0,1.015,"[7.0, 6.0, 8.0, 8.0, 6.0, 12.0]"
,144,Rock'n'Roll-Beginners,First round,2,192,FM,1.07,2.0,0.535,"[6.5, 6.5, 5.0, 8.5, 6.5, 7.5]"
,144,Rock'n'Roll-Beginners,First round,2,192,FW,7.31,12.0,0.6091666666666666,"[-35.0, -50.0, -35.0, -35.0, -35.0, -25.0]"
,144,Rock'n'Roll-Beginners,First round,2,192,sm,0.75,2.3,0.32608695652173914,"[0.0, 0.0, 0.0, 0.0, 0.0, -2.0]"
,144,Rock'n'Roll-Beginners,First round,2,192,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,144,Rock'n'Roll-Beginners,First round,3,214,DF,1.4,2.0,0.7,"[11.25, 7.5, 8.75, 11.25, 8.75, 8.75]"
,144,Rock'n'Roll-Beginners,First round,3,214,CO,1.77,2.0,0.885,"[6.0, 8.0, 9.0, 9.0, 5.0, 10.0]"
,144,Rock'n'Roll-Beginners,First round,3,214,FM,0.93,2.0,0.465,"[7.5, 7.5, 5.0, 7.5, 6.5, 7.5]"
,144,Rock'n'Roll-Beginners,First round,3,214,FW,10.96,12.0,0.9133333333333334,"[-15.0, -35.0, -25.0, -25.0, -35.0, -50.0]"
,144,Rock'n'Roll-Beginners,First round,3,214,sm,1.0,2.3,0.4347826086956522,"[-2.0, 0.0, 0.0, 0.0, -2.0, -2.0]"
