Summary

Number of anomalies per part,nb of anomalies, nb of analysis made,percentage of anomalies
Dancing part,41,906,5%
Acrobatic part,13,198,7%

Number of anomalies per criteria,nb of anomalies, nb of analysis made,percentage of anomalies
Dance Figure (DF),23,151,15%
Choregraphy (CO),13,151,9%
Acrobatic figure (Acro 1 to 6),13,198,7%
Footwork man (FM),3,151,2%
Big mistakes (BM),2,151,1%

Number of anomalies per group,nb of anomalies, nb of analysis made,percentage of anomalies
Juniors,29,426,7%
Adults,20,468,4%
Formations,5,210,2%

Top 5 anomalies
Rock'n'Roll-Main Class Start,Acro 5,First round,Heat 3 Stn. 371,[-75.0 -5.0 -15.0]
Rock'n'Roll-Formation,FM,Final,Heat 2 Stn. 128,[8.0 11.0 10.0 9.0 9.0 -1.0 13.0]
Rock'n'Roll-Formation,CO,Final,Heat 2 Stn. 128,[7.5 7.5 7.5 6.75 8.25 -1.0 10.5]
Rock'n'Roll-Beginners,DF,Final,Heat 4 Stn. 62,[12.5 11.25 8.75 15.0 13.75 11.25 5.0]
Rock'n'Roll-Main Class Contact Style,bm,Final - Acrobatic,Heat 5 Stn. 300,[0.0 -10.0 0.0 -30.0]

