anomaly,category name,round,heat,couple,criteria,stdev,threshold,raw data
yes,Rock'n'Roll-Beginners,Final,1,7,DF,2.05,2.0,"[10.0, 7.5, 8.75, 3.75, 10.0, 6.25, 7.5]"
,Rock'n'Roll-Beginners,Final,1,7,CO,1.25,2.0,"[7.0, 6.0, 6.0, 4.0, 7.0, 5.0, 8.0]"
,Rock'n'Roll-Beginners,Final,1,7,FM,1.13,1.6,"[5.0, 2.5, 2.5, 2.5, 5.0, 2.5, 2.5]"
,Rock'n'Roll-Beginners,Final,1,7,sm,1.28,2.3,"[-4.0, -2.0, 0.0, -2.0, -2.0, -4.0, -2.0]"
yes,Rock'n'Roll-Beginners,Final,1,7,bm,4.52,3.0,"[0.0, 0.0, -10.0, 0.0, -10.0, 0.0, 0.0]"
yes,Rock'n'Roll-Beginners,Final,2,214,DF,2.26,2.0,"[12.5, 6.25, 8.75, 7.5, 12.5, 11.25, 10.0]"
,Rock'n'Roll-Beginners,Final,2,214,CO,1.28,2.0,"[8.0, 7.0, 7.0, 7.0, 10.0, 10.0, 9.0]"
,Rock'n'Roll-Beginners,Final,2,214,FM,0.45,1.6,"[7.5, 6.5, 6.5, 6.5, 7.5, 6.5, 6.5]"
,Rock'n'Roll-Beginners,Final,2,214,sm,0.7,2.3,"[0.0, 0.0, -2.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,2,214,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Juveniles,First round,1,118,DF,2.16,2.0,"[11.25, 10.0, 12.5, 12.5, 15.0, 7.5, 11.25]"
,Rock'n'Roll-Juveniles,First round,1,118,CO,1.41,2.0,"[8.0, 6.0, 8.0, 9.0, 10.0, 6.0, 9.0]"
,Rock'n'Roll-Juveniles,First round,1,118,FM,0.87,1.6,"[7.5, 7.5, 6.5, 6.5, 9.0, 6.5, 6.5]"
,Rock'n'Roll-Juveniles,First round,1,118,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,1,118,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,1,182,DF,1.13,2.0,"[8.75, 10.0, 11.25, 11.25, 12.5, 10.0, 11.25]"
,Rock'n'Roll-Juveniles,First round,1,182,CO,1.39,2.0,"[8.0, 6.0, 10.0, 6.0, 9.0, 7.0, 8.0]"
,Rock'n'Roll-Juveniles,First round,1,182,FM,0.68,1.6,"[5.0, 6.5, 6.5, 6.5, 6.5, 6.5, 5.0]"
,Rock'n'Roll-Juveniles,First round,1,182,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,1,182,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,2,149,DF,1.41,2.0,"[10.0, 8.75, 8.75, 11.25, 12.5, 8.75, 11.25]"
,Rock'n'Roll-Juveniles,First round,2,149,CO,1.92,2.0,"[9.0, 7.0, 8.0, 4.0, 10.0, 6.0, 9.0]"
,Rock'n'Roll-Juveniles,First round,2,149,FM,1.29,1.6,"[6.5, 6.5, 7.5, 6.5, 9.0, 5.0, 5.0]"
,Rock'n'Roll-Juveniles,First round,2,149,sm,0.7,2.3,"[-2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Juveniles,First round,2,149,bm,3.5,3.0,"[0.0, 0.0, -10.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,2,153,DF,1.29,2.0,"[10.0, 10.0, 10.0, 10.0, 8.75, 6.25, 8.75]"
,Rock'n'Roll-Juveniles,First round,2,153,CO,1.07,2.0,"[7.0, 6.0, 8.0, 8.0, 7.0, 5.0, 8.0]"
,Rock'n'Roll-Juveniles,First round,2,153,FM,0.96,1.6,"[5.0, 5.0, 5.0, 7.5, 5.0, 6.5, 6.5]"
,Rock'n'Roll-Juveniles,First round,2,153,sm,0.99,2.3,"[0.0, 0.0, -2.0, -2.0, 0.0, 0.0, -2.0]"
,Rock'n'Roll-Juveniles,First round,2,153,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Juveniles,First round,3,121,DF,2.45,2.0,"[8.75, 5.0, 7.5, 5.0, 12.5, 6.25, 6.25]"
,Rock'n'Roll-Juveniles,First round,3,121,CO,1.48,2.0,"[7.0, 4.0, 6.0, 7.0, 9.0, 6.0, 5.0]"
,Rock'n'Roll-Juveniles,First round,3,121,FM,1.24,1.6,"[2.5, 5.0, 2.5, 5.0, 2.5, 5.0, 2.5]"
,Rock'n'Roll-Juveniles,First round,3,121,sm,1.46,2.3,"[0.0, -2.0, 0.0, 0.0, 0.0, -4.0, -2.0]"
yes,Rock'n'Roll-Juveniles,First round,3,121,bm,4.52,3.0,"[0.0, 0.0, -10.0, 0.0, 0.0, -10.0, 0.0]"
yes,Rock'n'Roll-Juveniles,First round,3,491,DF,2.54,2.0,"[17.5, 16.25, 17.5, 15.0, 20.0, 15.0, 22.5]"
,Rock'n'Roll-Juveniles,First round,3,491,CO,1.91,2.0,"[10.0, 11.0, 14.0, 12.0, 16.0, 12.0, 14.0]"
,Rock'n'Roll-Juveniles,First round,3,491,FM,0.17,1.6,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.5]"
,Rock'n'Roll-Juveniles,First round,3,491,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,3,491,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Juveniles,First round,4,78,DF,2.0,2.0,"[13.75, 11.25, 16.25, 15.0, 16.25, 12.5, 11.25]"
,Rock'n'Roll-Juveniles,First round,4,78,CO,1.75,2.0,"[8.0, 8.0, 12.0, 8.0, 12.0, 9.0, 11.0]"
,Rock'n'Roll-Juveniles,First round,4,78,FM,0.59,1.6,"[8.5, 9.0, 9.0, 7.5, 9.0, 9.5, 9.0]"
,Rock'n'Roll-Juveniles,First round,4,78,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,4,78,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Juveniles,First round,4,114,DF,2.47,2.0,"[10.0, 6.25, 12.5, 13.75, 10.0, 10.0, 13.75]"
,Rock'n'Roll-Juveniles,First round,4,114,CO,0.7,2.0,"[7.0, 7.0, 8.0, 8.0, 6.0, 7.0, 8.0]"
,Rock'n'Roll-Juveniles,First round,4,114,FM,0.95,1.6,"[6.5, 8.5, 6.5, 7.5, 8.5, 8.5, 9.0]"
,Rock'n'Roll-Juveniles,First round,4,114,sm,2.1,2.3,"[0.0, 0.0, 0.0, 0.0, -6.0, 0.0, 0.0]"
yes,Rock'n'Roll-Juveniles,First round,4,114,bm,3.5,3.0,"[0.0, 0.0, -10.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Juveniles,First round,5,430,DF,2.74,2.0,"[13.75, 16.25, 17.5, 18.75, 17.5, 10.0, 16.25]"
,Rock'n'Roll-Juveniles,First round,5,430,CO,1.83,2.0,"[8.0, 11.0, 13.0, 12.0, 14.0, 10.0, 11.0]"
,Rock'n'Roll-Juveniles,First round,5,430,FM,0.27,1.6,"[8.5, 9.5, 9.0, 9.0, 9.0, 9.0, 9.0]"
,Rock'n'Roll-Juveniles,First round,5,430,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,5,430,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Juveniles,First round,5,60,DF,2.11,2.0,"[11.25, 10.0, 12.5, 16.25, 13.75, 10.0, 13.75]"
,Rock'n'Roll-Juveniles,First round,5,60,CO,1.46,2.0,"[7.0, 6.0, 9.0, 10.0, 10.0, 8.0, 7.0]"
,Rock'n'Roll-Juveniles,First round,5,60,FM,0.92,1.6,"[6.5, 8.5, 6.5, 9.0, 8.5, 7.5, 7.5]"
,Rock'n'Roll-Juveniles,First round,5,60,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,5,60,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,1,78,DF,1.94,2.0,"[13.75, 13.75, 15.0, 13.75, 18.75, 12.5, 16.25]"
,Rock'n'Roll-Juveniles,Final,1,78,CO,1.67,2.0,"[11.0, 9.0, 14.0, 11.0, 14.0, 12.0, 11.0]"
,Rock'n'Roll-Juveniles,Final,1,78,FM,0.49,1.6,"[8.5, 9.0, 8.5, 7.5, 9.0, 8.5, 9.0]"
,Rock'n'Roll-Juveniles,Final,1,78,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,1,78,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,2,118,DF,1.29,2.0,"[12.5, 10.0, 11.25, 12.5, 13.75, 11.25, 10.0]"
,Rock'n'Roll-Juveniles,Final,2,118,CO,1.07,2.0,"[9.0, 8.0, 8.0, 11.0, 10.0, 9.0, 8.0]"
,Rock'n'Roll-Juveniles,Final,2,118,FM,1.13,1.6,"[6.5, 8.5, 5.0, 7.5, 8.5, 7.5, 7.5]"
,Rock'n'Roll-Juveniles,Final,2,118,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,2,118,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Juveniles,Final,3,430,DF,2.05,2.0,"[15.0, 16.25, 16.25, 15.0, 18.75, 12.5, 18.75]"
,Rock'n'Roll-Juveniles,Final,3,430,CO,1.96,2.0,"[11.0, 12.0, 14.0, 13.0, 14.0, 11.0, 17.0]"
,Rock'n'Roll-Juveniles,Final,3,430,FM,0.64,1.6,"[8.5, 9.5, 8.5, 7.5, 8.5, 8.5, 9.5]"
,Rock'n'Roll-Juveniles,Final,3,430,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,3,430,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Juveniles,Final,4,182,DF,2.2,2.0,"[10.0, 10.0, 13.75, 11.25, 13.75, 7.5, 8.75]"
,Rock'n'Roll-Juveniles,Final,4,182,CO,1.29,2.0,"[8.0, 8.0, 10.0, 6.0, 10.0, 8.0, 9.0]"
,Rock'n'Roll-Juveniles,Final,4,182,FM,0.93,1.6,"[5.0, 7.5, 6.5, 5.0, 6.5, 5.0, 6.5]"
yes,Rock'n'Roll-Juveniles,Final,4,182,sm,2.59,2.3,"[-8.0, 0.0, -4.0, -2.0, 0.0, -2.0, -4.0]"
,Rock'n'Roll-Juveniles,Final,4,182,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Juveniles,Final,5,491,DF,2.19,2.0,"[16.25, 16.25, 18.75, 16.25, 21.25, 13.75, 17.5]"
,Rock'n'Roll-Juveniles,Final,5,491,CO,1.84,2.0,"[13.0, 13.0, 16.0, 13.0, 17.0, 13.0, 17.0]"
,Rock'n'Roll-Juveniles,Final,5,491,FM,0.38,1.6,"[9.0, 9.0, 9.0, 8.5, 9.5, 8.5, 9.5]"
,Rock'n'Roll-Juveniles,Final,5,491,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,5,491,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Juveniles,Final,6,60,DF,2.56,2.0,"[12.5, 11.25, 13.75, 11.25, 18.75, 11.25, 11.25]"
yes,Rock'n'Roll-Juveniles,Final,6,60,CO,2.06,2.0,"[10.0, 7.0, 9.0, 8.0, 14.0, 9.0, 10.0]"
,Rock'n'Roll-Juveniles,Final,6,60,FM,0.7,1.6,"[6.5, 7.5, 6.5, 6.5, 7.5, 7.5, 8.5]"
,Rock'n'Roll-Juveniles,Final,6,60,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,6,60,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Hope round,1,118,DF,1.99,2.0,"[10.0, 8.75, 8.75, 11.25, 15.0, 10.0, 10.0]"
,Rock'n'Roll-Juveniles,Hope round,1,118,CO,1.03,2.0,"[7.0, 6.0, 8.0, 8.0, 7.0, 9.0, 9.0]"
,Rock'n'Roll-Juveniles,Hope round,1,118,FM,0.92,1.6,"[6.5, 8.5, 6.5, 7.5, 9.0, 7.5, 8.5]"
,Rock'n'Roll-Juveniles,Hope round,1,118,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Hope round,1,118,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Juveniles,Hope round,1,149,DF,2.05,2.0,"[11.25, 7.5, 11.25, 10.0, 13.75, 7.5, 10.0]"
,Rock'n'Roll-Juveniles,Hope round,1,149,CO,1.46,2.0,"[8.0, 6.0, 9.0, 6.0, 10.0, 7.0, 9.0]"
,Rock'n'Roll-Juveniles,Hope round,1,149,FM,0.73,1.6,"[6.5, 6.5, 7.5, 6.5, 8.5, 6.5, 7.5]"
,Rock'n'Roll-Juveniles,Hope round,1,149,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Hope round,1,149,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Juveniles,Hope round,2,153,DF,2.38,2.0,"[10.0, 7.5, 12.5, 8.75, 15.0, 10.0, 8.75]"
yes,Rock'n'Roll-Juveniles,Hope round,2,153,CO,2.05,2.0,"[8.0, 6.0, 8.0, 4.0, 11.0, 6.0, 8.0]"
,Rock'n'Roll-Juveniles,Hope round,2,153,FM,0.95,1.6,"[5.0, 7.5, 6.5, 5.0, 6.5, 7.5, 6.5]"
,Rock'n'Roll-Juveniles,Hope round,2,153,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Hope round,2,153,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Juveniles,Hope round,2,182,DF,2.0,2.0,"[11.25, 11.25, 15.0, 7.5, 11.25, 11.25, 11.25]"
,Rock'n'Roll-Juveniles,Hope round,2,182,CO,1.96,2.0,"[8.0, 7.0, 11.0, 4.0, 9.0, 8.0, 8.0]"
,Rock'n'Roll-Juveniles,Hope round,2,182,FM,0.78,1.6,"[6.5, 7.5, 6.5, 5.0, 6.5, 6.5, 7.5]"
,Rock'n'Roll-Juveniles,Hope round,2,182,sm,0.7,2.3,"[0.0, 0.0, -2.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Hope round,2,182,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Hope round,3,121,DF,1.97,2.0,"[8.75, 6.25, 8.75, 7.5, 12.5, 8.75, 6.25]"
,Rock'n'Roll-Juveniles,Hope round,3,121,CO,1.76,2.0,"[6.0, 4.0, 7.0, 5.0, 10.0, 7.0, 6.0]"
,Rock'n'Roll-Juveniles,Hope round,3,121,FM,1.53,1.6,"[5.0, 2.5, 2.5, 6.5, 6.5, 5.0, 5.0]"
,Rock'n'Roll-Juveniles,Hope round,3,121,sm,0.7,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0]"
,Rock'n'Roll-Juveniles,Hope round,3,121,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Hope round,3,114,DF,1.24,2.0,"[10.0, 10.0, 11.25, 11.25, 7.5, 10.0, 11.25]"
,Rock'n'Roll-Juveniles,Hope round,3,114,CO,1.16,2.0,"[6.0, 8.0, 9.0, 9.0, 6.0, 8.0, 8.0]"
,Rock'n'Roll-Juveniles,Hope round,3,114,FM,0.64,1.6,"[7.5, 8.5, 7.5, 7.5, 8.5, 6.5, 7.5]"
,Rock'n'Roll-Juveniles,Hope round,3,114,sm,2.25,2.3,"[-6.0, 0.0, 0.0, 0.0, -4.0, -2.0, 0.0]"
yes,Rock'n'Roll-Juveniles,Hope round,3,114,bm,14.98,3.0,"[-30.0, -20.0, -60.0, -20.0, -10.0, -20.0, -20.0]"
yes,Rock'n'Roll-Juniors,Final,1,494,DF,2.23,2.0,"[12.0, 15.0, 11.0, 13.0, 16.0, 9.0, 14.0]"
