anomaly,category name,round,heat,couple,criteria,stdev,threshold,raw data
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,179,DF,0.93,2.0,"[6.25, 6.875, 5.625, 8.125, 7.5, 8.125]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,179,CO,0.98,2.0,"[4.0, 5.0, 4.5, 6.5, 6.5, 6.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,179,FM,0.39,1.6,"[3.75, 4.5, 4.75, 4.5, 3.75, 4.5]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,179,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,179,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,181,DF,0.86,2.0,"[5.625, 6.25, 5.625, 6.875, 8.125, 6.25]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,181,CO,0.47,2.0,"[4.5, 5.0, 5.5, 6.0, 5.5, 5.5]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,181,FM,0.49,1.6,"[3.25, 4.25, 4.5, 3.25, 3.75, 4.25]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,181,sm,0.75,2.3,"[-2.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,181,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,362,DF,0.69,2.0,"[9.375, 8.125, 8.125, 8.75, 9.375, 7.5]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,362,CO,1.07,2.0,"[8.5, 6.0, 6.0, 7.5, 8.5, 6.5]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,362,FM,0.24,1.6,"[4.75, 4.5, 4.75, 5.0, 4.75, 4.25]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,362,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,362,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,363,DF,1.18,2.0,"[7.5, 6.25, 5.625, 7.5, 7.5, 9.375]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,363,CO,1.24,2.0,"[6.0, 5.0, 4.0, 7.5, 7.0, 7.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,363,FM,0.17,1.6,"[4.5, 4.25, 4.25, 4.75, 4.5, 4.5]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,363,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,363,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,283,DF,1.0,2.0,"[5.625, 6.25, 4.375, 5.0, 6.25, 7.5]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,283,CO,1.2,2.0,"[5.0, 4.0, 4.5, 6.0, 6.5, 7.5]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,283,FM,0.25,1.6,"[3.25, 3.25, 3.75, 3.75, 3.75, 3.25]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,283,sm,0.94,2.3,"[-2.0, 0.0, -2.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,283,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,71,DF,0.43,2.0,"[5.625, 4.375, 5.0, 5.0, 5.625, 5.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,71,CO,0.61,2.0,"[5.0, 4.0, 3.5, 5.0, 5.0, 5.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,71,FM,0.87,1.6,"[3.25, 3.75, 1.25, 3.75, 3.25, 2.5]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,71,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,71,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,71,DF,0.51,2.0,"[3.75, 4.375, 5.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,71,CO,0.47,2.0,"[3.5, 4.5, 3.5]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,71,FM,0.35,1.6,"[3.25, 2.5, 2.5]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,71,sm,0.0,2.3,"[0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,71,bm,0.0,3.0,"[0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,179,DF,0.78,2.0,"[6.25, 5.625, 7.5]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,179,CO,0.94,2.0,"[4.0, 6.0, 6.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,179,FM,0.12,1.6,"[4.5, 4.25, 4.25]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,179,sm,0.0,2.3,"[0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,179,bm,0.0,3.0,"[0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,363,DF,1.06,2.0,"[5.0, 6.875, 7.5]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,363,CO,1.03,2.0,"[4.5, 6.0, 7.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,363,FM,0.24,1.6,"[4.25, 4.75, 4.25]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,363,sm,0.0,2.3,"[0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,363,bm,0.0,3.0,"[0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,283,DF,1.06,2.0,"[3.75, 6.25, 5.625]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,283,CO,0.85,2.0,"[3.0, 5.0, 4.5]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,283,FM,0.35,1.6,"[3.25, 2.5, 3.25]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,283,sm,0.0,2.3,"[-2.0, -2.0, -2.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,283,bm,0.0,3.0,"[0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,181,DF,1.02,2.0,"[4.375, 5.625, 6.875]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,181,CO,0.94,2.0,"[4.0, 4.0, 6.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,181,FM,0.41,1.6,"[4.25, 3.25, 3.75]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,181,sm,0.0,2.3,"[0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,181,bm,0.0,3.0,"[0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,362,DF,0.59,2.0,"[8.125, 9.375, 9.375]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,362,CO,0.24,2.0,"[6.0, 6.5, 6.5]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,362,FM,0.12,1.6,"[4.5, 4.5, 4.25]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,362,sm,0.0,2.3,"[0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,362,bm,0.0,3.0,"[0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,71,Acro 1,2.36,12.0,"[-15.0, -10.0, -15.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,71,Acro 2,4.08,12.0,"[-10.0, -5.0, -15.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,71,Acro 3,11.79,12.0,"[-75.0, -50.0, -75.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,71,Acro 4,4.71,12.0,"[-35.0, -25.0, -35.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,71,Acro 5,7.07,12.0,"[-25.0, -10.0, -25.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,71,Acro 6,10.8,12.0,"[-35.0, -10.0, -15.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,71,fall,0.0,3.0,"[0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,71,bm,0.0,3.0,"[0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,179,Acro 1,10.8,12.0,"[-15.0, -35.0, -10.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,179,Acro 2,2.36,12.0,"[-15.0, -10.0, -10.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,179,Acro 3,0.0,12.0,"[-5.0, -5.0, -5.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,179,Acro 4,0.0,12.0,"[-10.0, -10.0, -10.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,179,Acro 5,2.36,12.0,"[-15.0, -10.0, -10.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,179,Acro 6,11.79,12.0,"[-50.0, -25.0, -25.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,179,fall,0.0,3.0,"[0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,179,bm,0.0,3.0,"[0.0, 0.0, 0.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,363,Acro 1,2.36,12.0,"[-5.0, 0.0, -5.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,363,Acro 2,0.0,12.0,"[-5.0, -5.0, -5.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,363,Acro 3,4.08,12.0,"[-10.0, 0.0, -5.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,363,Acro 4,0.0,12.0,"[-5.0, -5.0, -5.0]"
,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,363,Acro 5,0.0,12.0,"[-10.0, -10.0, -10.0]"
