anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,150,Rock'n'Roll-Beginners,Final,1,134,DF,1.18,2.3,0.5130434782608696,"[10.0, 11.25, 11.25, 13.75, 11.25, 12.5]"
yes,150,Rock'n'Roll-Beginners,Final,1,134,CO,2.05,2.0,1.025,"[8.0, 9.0, 5.0, 11.0, 8.0, 11.0]"
,150,Rock'n'Roll-Beginners,Final,1,134,FM,0.94,2.0,0.47,"[8.5, 8.5, 6.5, 8.5, 6.5, 8.5]"
,150,Rock'n'Roll-Beginners,Final,1,134,FW,6.24,14.4,0.43333333333333335,"[-15.0, -10.0, -25.0, -15.0, -25.0, -10.0]"
,150,Rock'n'Roll-Beginners,Final,1,134,sm,0.94,2.3,0.40869565217391307,"[0.0, 0.0, 0.0, 0.0, -2.0, -2.0]"
,150,Rock'n'Roll-Beginners,Final,1,134,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,Final,2,131,DF,1.86,2.3,0.8086956521739131,"[7.5, 10.0, 10.0, 10.0, 13.75, 11.25]"
,150,Rock'n'Roll-Beginners,Final,2,131,CO,1.15,2.0,0.575,"[6.0, 8.0, 7.0, 9.0, 9.0, 9.0]"
,150,Rock'n'Roll-Beginners,Final,2,131,FM,0.0,2.0,0.0,"[7.5, 7.5, 7.5, 7.5, 7.5, 7.5]"
,150,Rock'n'Roll-Beginners,Final,2,131,FW,6.87,14.4,0.4770833333333333,"[-35.0, -15.0, -15.0, -25.0, -25.0, -25.0]"
,150,Rock'n'Roll-Beginners,Final,2,131,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,Final,2,131,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,Final,3,193,DF,1.83,2.3,0.7956521739130435,"[10.0, 13.75, 10.0, 12.5, 15.0, 12.5]"
,150,Rock'n'Roll-Beginners,Final,3,193,CO,1.57,2.0,0.785,"[8.0, 11.0, 8.0, 11.0, 12.0, 9.0]"
,150,Rock'n'Roll-Beginners,Final,3,193,FM,0.47,2.0,0.235,"[8.5, 8.5, 7.5, 7.5, 7.5, 7.5]"
,150,Rock'n'Roll-Beginners,Final,3,193,FW,2.36,14.4,0.1638888888888889,"[-15.0, -10.0, -15.0, -10.0, -15.0, -15.0]"
,150,Rock'n'Roll-Beginners,Final,3,193,sm,0.75,2.3,0.32608695652173914,"[0.0, 0.0, 0.0, 0.0, 0.0, -2.0]"
,150,Rock'n'Roll-Beginners,Final,3,193,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,150,Rock'n'Roll-Beginners,Final,4,62,DF,2.47,2.3,1.073913043478261,"[6.25, 8.75, 7.5, 10.0, 13.75, 11.25]"
,150,Rock'n'Roll-Beginners,Final,4,62,CO,1.53,2.0,0.765,"[7.0, 7.0, 6.0, 8.0, 10.0, 10.0]"
,150,Rock'n'Roll-Beginners,Final,4,62,FM,1.1,2.0,0.55,"[8.5, 6.5, 5.0, 7.5, 7.5, 6.5]"
,150,Rock'n'Roll-Beginners,Final,4,62,FW,5.77,14.4,0.4006944444444444,"[-15.0, -25.0, -35.0, -25.0, -25.0, -25.0]"
,150,Rock'n'Roll-Beginners,Final,4,62,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,Final,4,62,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,150,Rock'n'Roll-Beginners,Final,5,57,DF,2.39,2.3,1.039130434782609,"[7.5, 13.75, 8.75, 12.5, 13.75, 11.25]"
,150,Rock'n'Roll-Beginners,Final,5,57,CO,1.77,2.0,0.885,"[7.0, 7.0, 5.0, 10.0, 8.0, 10.0]"
,150,Rock'n'Roll-Beginners,Final,5,57,FM,0.37,2.0,0.185,"[7.5, 7.5, 6.5, 7.5, 7.5, 7.5]"
,150,Rock'n'Roll-Beginners,Final,5,57,FW,7.45,14.4,0.5173611111111112,"[-25.0, -15.0, -35.0, -15.0, -15.0, -25.0]"
,150,Rock'n'Roll-Beginners,Final,5,57,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,Final,5,57,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,Final,6,27,DF,1.52,2.3,0.6608695652173914,"[10.0, 12.5, 12.5, 12.5, 8.75, 10.0]"
,150,Rock'n'Roll-Beginners,Final,6,27,CO,1.25,2.0,0.625,"[8.0, 9.0, 8.0, 10.0, 6.0, 9.0]"
,150,Rock'n'Roll-Beginners,Final,6,27,FM,0.8,2.0,0.4,"[7.5, 7.5, 9.0, 8.5, 6.5, 7.5]"
,150,Rock'n'Roll-Beginners,Final,6,27,FW,5.0,14.4,0.3472222222222222,"[-35.0, -35.0, -25.0, -25.0, -25.0, -35.0]"
