Summary

Number of anomalies per part,nb of anomalies, nb of analysis made,percentage of anomalies
Dancing part,137,3198,4%
Acrobatic part,54,1434,4%

Number of anomalies per criteria,nb of anomalies, nb of analysis made,percentage of anomalies
Footwork woman (FW),34,533,6%
Choregraphy (CO),26,533,5%
Dance Figure (DF),23,533,4%
Small mistakes (SM),22,533,4%
Acrobatic figure (Acro 1 to 6),54,1434,4%
Footwork man (FM),17,533,3%
Big mistakes (BM),15,533,3%

Number of anomalies per group,nb of anomalies, nb of analysis made,percentage of anomalies
Juniors,41,630,7%
Adults,115,3198,4%
Formations,35,804,4%

