Summary

Number of anomalies per part,nb of anomalies, nb of analysis made,percentage of anomalies
Dancing part,27,474,6%
Acrobatic part,13,132,10%

Number of anomalies per criteria,nb of anomalies, nb of analysis made,percentage of anomalies
Dance Figure (DF),8,79,10%
Choregraphy (CO),8,79,10%
Acrobatic figure (Acro 1 to 6),13,132,10%
Footwork woman (FW),5,79,6%
Footwork man (FM),3,79,4%
Small mistakes (SM),2,79,3%
Big mistakes (BM),1,79,1%

Number of anomalies per group,nb of anomalies, nb of analysis made,percentage of anomalies
Juniors,16,234,7%
Adults,17,252,7%
Formations,7,120,6%

Top 5 anomalies
Rock'n'Roll-Main Class Start,bm,Final,Heat 2 Stn. 176,[-10.0 -60.0 -10.0]
Rock'n'Roll-Main Class Start,Acro 2,Final,Heat 2 Stn. 176,[-100.0 -50.0 -50.0]
Rock'n'Roll-Main Class Free Style,Acro 5,Final - Acrobatic,Heat 2 Stn. 63,[-25.0 -75.0 -35.0]
Rock'n'Roll-Main Class Start,Acro 5,Final,Heat 2 Stn. 176,[-75.0 -35.0 -25.0]
Rock'n'Roll-Main Class Contact Style,Acro 5,First round,Heat 4 Stn. 179,[-75.0 -25.0 -50.0]

