anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,151,Rock'n'Roll-Beginners,First round,1,3,DF,1.56,2.3,0.6782608695652175,"[11.25, 11.25, 10.0, 10.0, 8.75, 12.5, 7.5]"
,151,Rock'n'Roll-Beginners,First round,1,3,CO,0.88,2.0,0.44,"[9.0, 7.0, 8.0, 9.0, 7.0, 7.0, 7.0]"
,151,Rock'n'Roll-Beginners,First round,1,3,FM,1.04,2.0,0.52,"[7.5, 7.5, 8.5, 7.5, 5.0, 6.5, 6.5]"
,151,Rock'n'Roll-Beginners,First round,1,3,FW,4.52,14.4,0.31388888888888883,"[-25.0, -35.0, -35.0, -25.0, -35.0, -35.0, -35.0]"
,151,Rock'n'Roll-Beginners,First round,1,3,sm,0.7,2.3,0.30434782608695654,"[0.0, -2.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,First round,1,3,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,First round,1,62,DF,2.05,2.3,0.8913043478260869,"[12.5, 8.75, 7.5, 7.5, 12.5, 11.25, 11.25]"
,151,Rock'n'Roll-Beginners,First round,1,62,CO,1.76,2.0,0.88,"[10.0, 6.0, 5.0, 7.0, 9.0, 6.0, 9.0]"
,151,Rock'n'Roll-Beginners,First round,1,62,FM,0.49,2.0,0.245,"[7.5, 6.5, 7.5, 6.5, 7.5, 6.5, 6.5]"
,151,Rock'n'Roll-Beginners,First round,1,62,FW,4.95,14.4,0.34375,"[-25.0, -35.0, -35.0, -35.0, -25.0, -35.0, -25.0]"
,151,Rock'n'Roll-Beginners,First round,1,62,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,First round,1,62,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,First round,2,27,DF,0.8,2.3,0.3478260869565218,"[12.5, 12.5, 11.25, 12.5, 13.75, 13.75, 12.5]"
,151,Rock'n'Roll-Beginners,First round,2,27,CO,0.7,2.0,0.35,"[10.0, 9.0, 10.0, 9.0, 10.0, 11.0, 9.0]"
,151,Rock'n'Roll-Beginners,First round,2,27,FM,0.65,2.0,0.325,"[9.0, 8.5, 8.5, 7.5, 7.5, 7.5, 9.0]"
,151,Rock'n'Roll-Beginners,First round,2,27,FW,6.39,14.4,0.44375,"[-15.0, -25.0, -15.0, -35.0, -25.0, -25.0, -25.0]"
,151,Rock'n'Roll-Beginners,First round,2,27,sm,0.9,2.3,0.391304347826087,"[0.0, -2.0, 0.0, -2.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,First round,2,27,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,First round,2,240,DF,1.13,2.3,0.49130434782608695,"[8.75, 10.0, 6.25, 7.5, 8.75, 8.75, 7.5]"
,151,Rock'n'Roll-Beginners,First round,2,240,CO,0.64,2.0,0.32,"[7.0, 7.0, 5.0, 6.0, 6.0, 6.0, 6.0]"
,151,Rock'n'Roll-Beginners,First round,2,240,FM,0.68,2.0,0.34,"[6.5, 6.5, 6.5, 5.0, 5.0, 6.5, 6.5]"
,151,Rock'n'Roll-Beginners,First round,2,240,FW,7.76,14.4,0.5388888888888889,"[-25.0, -35.0, -35.0, -50.0, -35.0, -25.0, -35.0]"
,151,Rock'n'Roll-Beginners,First round,2,240,sm,0.7,2.3,0.30434782608695654,"[0.0, 0.0, 0.0, 0.0, -2.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,First round,2,240,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,First round,3,193,DF,1.13,2.3,0.49130434782608695,"[13.75, 13.75, 11.25, 12.5, 13.75, 15.0, 12.5]"
,151,Rock'n'Roll-Beginners,First round,3,193,CO,1.28,2.0,0.64,"[10.0, 8.0, 8.0, 10.0, 10.0, 12.0, 10.0]"
,151,Rock'n'Roll-Beginners,First round,3,193,FM,1.03,2.0,0.515,"[7.5, 6.5, 8.5, 7.5, 7.5, 5.0, 7.5]"
,151,Rock'n'Roll-Beginners,First round,3,193,FW,3.5,14.4,0.24305555555555555,"[-15.0, -25.0, -15.0, -15.0, -15.0, -15.0, -15.0]"
,151,Rock'n'Roll-Beginners,First round,3,193,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,First round,3,193,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,First round,3,237,DF,0.91,2.3,0.3956521739130435,"[7.5, 7.5, 7.5, 6.25, 7.5, 7.5, 5.0]"
,151,Rock'n'Roll-Beginners,First round,3,237,CO,1.67,2.0,0.835,"[7.0, 6.0, 4.0, 7.0, 8.0, 5.0, 3.0]"
,151,Rock'n'Roll-Beginners,First round,3,237,FM,0.87,2.0,0.435,"[5.0, 5.0, 5.0, 5.0, 2.5, 5.0, 5.0]"
,151,Rock'n'Roll-Beginners,First round,3,237,FW,6.78,14.4,0.4708333333333333,"[-50.0, -35.0, -35.0, -50.0, -50.0, -50.0, -50.0]"
,151,Rock'n'Roll-Beginners,First round,3,237,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,First round,3,237,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,First round,4,57,DF,0.91,2.3,0.3956521739130435,"[12.5, 13.75, 11.25, 12.5, 11.25, 11.25, 11.25]"
yes,151,Rock'n'Roll-Beginners,First round,4,57,CO,2.32,2.0,1.16,"[10.0, 13.0, 7.0, 6.0, 8.0, 9.0, 6.0]"
,151,Rock'n'Roll-Beginners,First round,4,57,FM,1.03,2.0,0.515,"[7.5, 8.5, 7.5, 7.5, 7.5, 5.0, 6.5]"
,151,Rock'n'Roll-Beginners,First round,4,57,FW,10.83,14.4,0.7520833333333333,"[-25.0, -15.0, -15.0, -25.0, -25.0, -50.0, -25.0]"
,151,Rock'n'Roll-Beginners,First round,4,57,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,First round,4,57,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,First round,4,131,DF,2.0,2.3,0.8695652173913044,"[12.5, 8.75, 8.75, 10.0, 13.75, 13.75, 11.25]"
,151,Rock'n'Roll-Beginners,First round,4,131,CO,1.64,2.0,0.82,"[9.0, 7.0, 7.0, 8.0, 9.0, 12.0, 10.0]"
,151,Rock'n'Roll-Beginners,First round,4,131,FM,0.49,2.0,0.245,"[7.5, 6.5, 7.5, 6.5, 6.5, 7.5, 6.5]"
,151,Rock'n'Roll-Beginners,First round,4,131,FW,6.39,14.4,0.44375,"[-25.0, -35.0, -25.0, -15.0, -25.0, -25.0, -35.0]"
,151,Rock'n'Roll-Beginners,First round,4,131,sm,0.7,2.3,0.30434782608695654,"[0.0, -2.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,First round,4,131,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,First round,5,239,DF,1.34,2.3,0.582608695652174,"[8.75, 8.75, 7.5, 10.0, 10.0, 10.0, 6.25]"
,151,Rock'n'Roll-Beginners,First round,5,239,CO,1.29,2.0,0.645,"[7.0, 6.0, 6.0, 8.0, 6.0, 8.0, 4.0]"
,151,Rock'n'Roll-Beginners,First round,5,239,FM,0.68,2.0,0.34,"[5.0, 6.5, 5.0, 6.5, 5.0, 5.0, 5.0]"
,151,Rock'n'Roll-Beginners,First round,5,239,FW,9.42,14.4,0.6541666666666667,"[-50.0, -25.0, -50.0, -35.0, -50.0, -50.0, -50.0]"
,151,Rock'n'Roll-Beginners,First round,5,239,sm,1.67,2.3,0.7260869565217392,"[0.0, -4.0, -2.0, -4.0, -4.0, -2.0, 0.0]"
,151,Rock'n'Roll-Beginners,First round,5,239,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,First round,5,238,DF,1.73,2.3,0.7521739130434784,"[10.0, 8.75, 7.5, 10.0, 7.5, 12.5, 7.5]"
,151,Rock'n'Roll-Beginners,First round,5,238,CO,1.59,2.0,0.795,"[8.0, 7.0, 4.0, 5.0, 7.0, 9.0, 6.0]"
,151,Rock'n'Roll-Beginners,First round,5,238,FM,1.09,2.0,0.545,"[5.0, 5.0, 5.0, 5.0, 2.5, 5.0, 6.5]"
,151,Rock'n'Roll-Beginners,First round,5,238,FW,7.42,14.4,0.5152777777777777,"[-35.0, -35.0, -35.0, -35.0, -50.0, -50.0, -50.0]"
,151,Rock'n'Roll-Beginners,First round,5,238,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,First round,5,238,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,First round,6,134,DF,1.56,2.3,0.6782608695652175,"[13.75, 11.25, 10.0, 12.5, 12.5, 15.0, 11.25]"
,151,Rock'n'Roll-Beginners,First round,6,134,CO,1.29,2.0,0.645,"[10.0, 10.0, 8.0, 9.0, 9.0, 12.0, 8.0]"
,151,Rock'n'Roll-Beginners,First round,6,134,FM,0.7,2.0,0.35,"[6.5, 6.5, 8.5, 7.5, 7.5, 7.5, 6.5]"
,151,Rock'n'Roll-Beginners,First round,6,134,FW,9.53,14.4,0.6618055555555555,"[-35.0, -25.0, -15.0, -10.0, -15.0, -15.0, -35.0]"
,151,Rock'n'Roll-Beginners,First round,6,134,sm,1.98,2.3,0.8608695652173913,"[-4.0, -4.0, -6.0, -6.0, -6.0, -4.0, 0.0]"
,151,Rock'n'Roll-Beginners,First round,6,134,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,Hope round,1,240,DF,1.69,2.3,0.7347826086956523,"[11.25, 11.25, 7.5, 11.25, 8.75, 11.25, 7.5]"
,151,Rock'n'Roll-Beginners,Hope round,1,240,CO,1.75,2.0,0.875,"[8.0, 8.0, 4.0, 7.0, 8.0, 10.0, 6.0]"
,151,Rock'n'Roll-Beginners,Hope round,1,240,FM,0.78,2.0,0.39,"[6.5, 7.5, 5.0, 6.5, 6.5, 7.5, 6.5]"
,151,Rock'n'Roll-Beginners,Hope round,1,240,FW,4.95,14.4,0.34375,"[-35.0, -25.0, -35.0, -35.0, -25.0, -25.0, -35.0]"
,151,Rock'n'Roll-Beginners,Hope round,1,240,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,Hope round,1,240,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,Hope round,1,239,DF,1.64,2.3,0.7130434782608696,"[8.75, 7.5, 7.5, 8.75, 7.5, 8.75, 3.75]"
,151,Rock'n'Roll-Beginners,Hope round,1,239,CO,1.59,2.0,0.795,"[7.0, 5.0, 6.0, 5.0, 7.0, 6.0, 2.0]"
,151,Rock'n'Roll-Beginners,Hope round,1,239,FM,1.53,2.0,0.765,"[5.0, 6.5, 5.0, 6.5, 2.5, 5.0, 2.5]"
,151,Rock'n'Roll-Beginners,Hope round,1,239,FW,9.53,14.4,0.6618055555555555,"[-50.0, -35.0, -35.0, -25.0, -25.0, -35.0, -50.0]"
,151,Rock'n'Roll-Beginners,Hope round,1,239,sm,2.06,2.3,0.8956521739130435,"[-6.0, -6.0, -4.0, 0.0, -2.0, -2.0, -4.0]"
,151,Rock'n'Roll-Beginners,Hope round,1,239,bm,3.5,8.0,0.4375,"[0.0, 0.0, 0.0, -10.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,Hope round,2,62,DF,1.64,2.3,0.7130434782608696,"[11.25, 12.5, 7.5, 12.5, 12.5, 11.25, 11.25]"
,151,Rock'n'Roll-Beginners,Hope round,2,62,CO,1.4,2.0,0.7,"[8.0, 7.0, 7.0, 10.0, 11.0, 9.0, 8.0]"
,151,Rock'n'Roll-Beginners,Hope round,2,62,FM,0.49,2.0,0.245,"[7.5, 6.5, 6.5, 7.5, 7.5, 6.5, 7.5]"
,151,Rock'n'Roll-Beginners,Hope round,2,62,FW,8.39,14.4,0.5826388888888889,"[-35.0, -35.0, -50.0, -25.0, -25.0, -35.0, -25.0]"
,151,Rock'n'Roll-Beginners,Hope round,2,62,sm,0.7,2.3,0.30434782608695654,"[0.0, 0.0, 0.0, -2.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,Hope round,2,62,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,Hope round,3,3,DF,1.89,2.3,0.8217391304347826,"[11.25, 10.0, 6.25, 10.0, 10.0, 7.5, 6.25]"
,151,Rock'n'Roll-Beginners,Hope round,3,3,CO,1.83,2.0,0.915,"[7.0, 8.0, 6.0, 10.0, 7.0, 9.0, 4.0]"
,151,Rock'n'Roll-Beginners,Hope round,3,3,FM,0.68,2.0,0.34,"[6.5, 6.5, 6.5, 7.5, 6.5, 6.5, 5.0]"
,151,Rock'n'Roll-Beginners,Hope round,3,3,FW,10.35,14.4,0.71875,"[-35.0, -25.0, -25.0, -15.0, -25.0, -35.0, -50.0]"
,151,Rock'n'Roll-Beginners,Hope round,3,3,sm,0.9,2.3,0.391304347826087,"[0.0, -2.0, -2.0, 0.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,Hope round,3,3,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,Hope round,3,134,DF,1.47,2.3,0.6391304347826088,"[12.5, 12.5, 8.75, 13.75, 11.25, 12.5, 11.25]"
,151,Rock'n'Roll-Beginners,Hope round,3,134,CO,1.58,2.0,0.79,"[9.0, 9.0, 7.0, 8.0, 7.0, 12.0, 9.0]"
,151,Rock'n'Roll-Beginners,Hope round,3,134,FM,0.0,2.0,0.0,"[7.5, 7.5, 7.5, 7.5, 7.5, 7.5, 7.5]"
,151,Rock'n'Roll-Beginners,Hope round,3,134,FW,4.52,14.4,0.31388888888888883,"[-25.0, -25.0, -15.0, -15.0, -25.0, -25.0, -25.0]"
,151,Rock'n'Roll-Beginners,Hope round,3,134,sm,0.9,2.3,0.391304347826087,"[0.0, 0.0, -2.0, 0.0, -2.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,Hope round,3,134,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,151,Rock'n'Roll-Beginners,Hope round,4,238,DF,1.41,2.3,0.6130434782608696,"[11.25, 10.0, 8.75, 11.25, 7.5, 11.25, 8.75]"
