Summary

Number of anomalies per part,nb of anomalies, nb of analysis made,percentage of anomalies
Dancing part,11,510,2%
Acrobatic part,26,270,10%

Number of anomalies per criteria,nb of anomalies, nb of analysis made,percentage of anomalies
Acrobatic figure (Acro 1 to 6),26,270,10%
Dance Figure (DF),3,85,4%
Small mistakes (SM),3,85,4%
Choregraphy (CO),2,85,2%
Footwork woman (FW),1,85,1%
Footwork man (FM),1,85,1%
Big mistakes (BM),1,85,1%

Number of anomalies per group,nb of anomalies, nb of analysis made,percentage of anomalies
Adults,33,606,5%
Juniors,2,84,2%
Formations,2,90,2%

Top 5 anomalies
Rock'n'Roll-Main Class Contact Style,Acro 5,Hope round,Heat 4 Stn. 430,[-35.0 -35.0 -75.0]
Rock'n'Roll-Main Class Contact Style,Acro 4,First round,Heat 5 Stn. 36,[-75.0 -35.0 -50.0]
Rock'n'Roll-Main Class Contact Style,Acro 5,Hope round,Heat 3 Stn. 160,[-50.0 -15.0 -50.0]
Rock'n'Roll-Main Class Start,Acro 4,Final,Heat 6 Stn. 142,[-10.0 -50.0 -25.0]
Rock'n'Roll-Main Class Contact Style,Acro 5,First round,Heat 5 Stn. 430,[-75.0 -35.0 -50.0]

