Summary

Number of anomalies per part,nb of anomalies, nb of analysis made,percentage of anomalies
Dancing part,46,1200,4%
Acrobatic part,67,606,11%

Number of anomalies per criteria,nb of anomalies, nb of analysis made,percentage of anomalies
Acrobatic figure (Acro 1 to 6),67,606,11%
Footwork woman (FW),12,200,6%
Small mistakes (SM),10,200,5%
Big mistakes (BM),8,200,4%
Dance Figure (DF),6,200,3%
Footwork man (FM),5,200,3%
Choregraphy (CO),5,200,3%

Number of anomalies per group,nb of anomalies, nb of analysis made,percentage of anomalies
Adults,90,1332,7%
Juniors,11,204,5%
Formations,12,270,4%

