rt_id,Judge,tip,Category,Round,Heat,Stn,stanica,Acro 1,Acro 2,Acro 3,Acro 4,Acro 5,Acro 6,bm,turnir,Acro_7,Acro_8,fall
1552,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,179,1,0,0,0,0,0,0,0,143,-1,-1,0
1552,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,181,1,0,0,0,0,0,0,0,143,-1,-1,0
1552,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,362,1,0,0,0,0,0,0,0,143,-1,-1,0
1552,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,363,1,0,0,0,0,0,0,0,143,-1,-1,0
1552,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,283,1,0,0,0,0,0,0,0,143,-1,-1,0
1552,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,71,1,0,0,0,0,0,0,0,143,-1,-1,0
1552,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,179,3,0,0,0,0,0,0,0,143,-1,-1,0
1552,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,181,3,0,0,0,0,0,0,0,143,-1,-1,0
1552,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,362,3,0,0,0,0,0,0,0,143,-1,-1,0
1552,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,363,3,0,0,0,0,0,0,0,143,-1,-1,0
1552,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,283,3,0,0,0,0,0,0,0,143,-1,-1,0
1552,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,71,3,0,0,0,0,0,0,0,143,-1,-1,0
1552,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,179,4,0,0,0,0,0,0,0,143,-1,-1,0
1552,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,181,4,0,0,0,0,0,0,0,143,-1,-1,0
1552,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,362,4,0,0,0,0,0,0,0,143,-1,-1,0
1552,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,363,4,0,0,0,0,0,0,0,143,-1,-1,0
1552,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,283,4,0,0,0,0,0,0,0,143,-1,-1,0
1552,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,71,4,0,0,0,0,0,0,0,143,-1,-1,0
1553,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,71,1,-15,-10,-75,-35,-25,-35,0,143,-1,-1,0
1553,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,179,1,-15,-15,-5,-10,-15,-50,0,143,-1,-1,0
1553,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,363,1,-5,-5,-10,-5,-10,-15,0,143,-1,-1,0
1553,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,283,1,-25,-15,-25,-15,-50,-50,0,143,-1,-1,0
1553,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,181,1,-35,-15,-15,-15,-25,-25,0,143,-1,-1,0
1553,A,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,362,1,-5,0,-10,-10,-5,-25,0,143,-1,-1,0
1553,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,71,3,-10,-5,-50,-25,-10,-10,0,143,-1,-1,0
1553,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,179,3,-35,-10,-5,-10,-10,-25,0,143,-1,-1,0
1553,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,363,3,0,-5,0,-5,-10,-10,0,143,-1,-1,0
1553,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,283,3,-25,-5,-35,-10,-35,-35,0,143,-1,-1,0
1553,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,181,3,-25,-10,-5,-10,-35,-10,0,143,-1,-1,0
1553,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,362,3,-10,-5,-5,-5,0,-25,0,143,-1,-1,0
1553,D,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,71,4,-15,-15,-75,-35,-25,-15,0,143,-1,-1,0
1553,D,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,179,4,-10,-10,-5,-10,-10,-25,0,143,-1,-1,0
1553,D,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,363,4,-5,-5,-5,-5,-10,-10,0,143,-1,-1,0
1553,D,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,283,4,-25,-15,-15,-15,-50,-50,0,143,-1,-1,0
1553,D,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,181,4,-25,-15,-15,-15,-25,-25,0,143,-1,-1,0
1553,D,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,362,4,-5,0,-5,-5,-5,-25,0,143,-1,-1,0
