rt_id,Judge,Type,Category,Round,Heat,Stn,stanica,FWL1,FWM1,DF1,CDP1,sm,bm,turnir,krit,val1,val2,val3,Acro 1,Acro 2,Acro 3,Acro 4,Acro 5,Acro 6,Acro 7,Acro 8
1552,A,,Rock'n'Roll-Juveniles,First round,1,153,1,-35,-35,10,8,0,0,143,DF,1,1,2,0,0,0,0,0,0,-1,-1
1552,A,,Rock'n'Roll-Juveniles,First round,1,155,1,-25,-35,10,6,0,0,143,CDP,1,1,1,0,0,0,0,0,0,-1,-1
1552,A,,Rock'n'Roll-Juveniles,First round,1,155,1,-25,-35,10,6,0,0,143,DF,1,1,2,0,0,0,0,0,0,-1,-1
1552,A,,Rock'n'Roll-Juveniles,First round,1,153,1,-35,-35,10,8,0,0,143,CDP,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1552,A,,Rock'n'Roll-Juveniles,First round,2,135,1,-25,-35,10,8,0,0,143,CDP,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1552,A,,Rock'n'Roll-Juveniles,First round,2,135,1,-25,-35,10,8,0,0,143,DF,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1552,A,,Rock'n'Roll-Juveniles,First round,2,182,1,-10,-25,13.75,10,0,0,143,CDP,1.5,2,1.5,0,0,0,0,0,0,-1,-1
1552,A,,Rock'n'Roll-Juveniles,First round,2,182,1,-10,-25,13.75,10,0,0,143,DF,1.5,2,2,0,0,0,0,0,0,-1,-1
1552,A,,Rock'n'Roll-Juveniles,First round,3,78,1,-5,-5,16.25,12,0,0,143,CDP,2,2,2,0,0,0,0,0,0,-1,-1
1552,A,,Rock'n'Roll-Juveniles,First round,3,149,1,-15,-15,11.25,8,-2,0,143,DF,1,1.5,2,0,0,0,0,0,0,-1,-1
1552,A,,Rock'n'Roll-Juveniles,First round,3,78,1,-5,-5,16.25,12,0,0,143,DF,2,2,2,0,0,0,0,0,0,-1,-1
1552,A,,Rock'n'Roll-Juveniles,First round,3,149,1,-15,-15,11.25,8,-2,0,143,CDP,1.5,1.5,1,0,0,0,0,0,0,-1,-1
1552,A,,Rock'n'Roll-Juveniles,First round,4,7,1,-15,-25,10,7,-2,0,143,CDP,1,1.5,1,0,0,0,0,0,0,-1,-1
1552,A,,Rock'n'Roll-Juveniles,First round,4,7,1,-15,-25,10,7,-2,0,143,DF,0.5,1.5,2,0,0,0,0,0,0,-1,-1
1552,A,,Rock'n'Roll-Juveniles,First round,4,235,1,-10,-10,16.25,11,0,0,143,CDP,1.5,2,2,0,0,0,0,0,0,-1,-1
1552,A,,Rock'n'Roll-Juveniles,First round,4,235,1,-10,-10,16.25,11,0,0,143,DF,2,2,2,0,0,0,0,0,0,-1,-1
1552,B,,Rock'n'Roll-Juveniles,First round,1,155,2,-35,-50,6.25,6,-4,0,143,DF,1,0.5,1,0,0,0,0,0,0,-1,-1
1552,B,,Rock'n'Roll-Juveniles,First round,1,153,2,-25,-25,7.5,7,0,0,143,CDP,1,1.5,1,0,0,0,0,0,0,-1,-1
1552,B,,Rock'n'Roll-Juveniles,First round,1,153,2,-25,-25,7.5,7,0,0,143,DF,1,1,1,0,0,0,0,0,0,-1,-1
1552,B,,Rock'n'Roll-Juveniles,First round,1,155,2,-35,-50,6.25,6,-4,0,143,CDP,1,1,1,0,0,0,0,0,0,-1,-1
1552,B,,Rock'n'Roll-Juveniles,First round,2,135,2,-15,-35,8.75,6,0,0,143,CDP,1,1,1,0,0,0,0,0,0,-1,-1
1552,B,,Rock'n'Roll-Juveniles,First round,2,135,2,-15,-35,8.75,6,0,0,143,DF,1,1,1.5,0,0,0,0,0,0,-1,-1
1552,B,,Rock'n'Roll-Juveniles,First round,2,182,2,-15,-15,12.5,8,0,0,143,CDP,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1552,B,,Rock'n'Roll-Juveniles,First round,2,182,2,-15,-15,12.5,8,0,0,143,DF,1.5,2,1.5,0,0,0,0,0,0,-1,-1
1552,B,,Rock'n'Roll-Juveniles,First round,3,78,2,-10,-25,13.75,9,0,0,143,DF,1.5,2,2,0,0,0,0,0,0,-1,-1
1552,B,,Rock'n'Roll-Juveniles,First round,3,149,2,-15,-35,10,7,0,0,143,CDP,1,1.5,1,0,0,0,0,0,0,-1,-1
1552,B,,Rock'n'Roll-Juveniles,First round,3,78,2,-10,-25,13.75,9,0,0,143,CDP,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1552,B,,Rock'n'Roll-Juveniles,First round,3,149,2,-15,-35,10,7,0,0,143,DF,1.5,1,1.5,0,0,0,0,0,0,-1,-1
1552,B,,Rock'n'Roll-Juveniles,First round,4,7,2,-50,-50,6.25,4,0,0,143,CDP,1,0.5,0.5,0,0,0,0,0,0,-1,-1
1552,B,,Rock'n'Roll-Juveniles,First round,4,7,2,-50,-50,6.25,4,0,0,143,DF,1,0.5,1,0,0,0,0,0,0,-1,-1
1552,B,,Rock'n'Roll-Juveniles,First round,4,235,2,-25,-15,12.5,9,0,0,143,CDP,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1552,B,,Rock'n'Roll-Juveniles,First round,4,235,2,-25,-15,12.5,9,0,0,143,DF,1.5,1.5,2,0,0,0,0,0,0,-1,-1
1552,C,,Rock'n'Roll-Juveniles,First round,1,155,3,-35,-50,7.5,8,0,0,143,DF,1,1,1,0,0,0,0,0,0,-1,-1
1552,C,,Rock'n'Roll-Juveniles,First round,1,155,3,-35,-50,7.5,8,0,0,143,CDP,1.5,1,1.5,0,0,0,0,0,0,-1,-1
1552,C,,Rock'n'Roll-Juveniles,First round,1,153,3,-35,-35,10,8,0,0,143,DF,1.5,1.5,1,0,0,0,0,0,0,-1,-1
1552,C,,Rock'n'Roll-Juveniles,First round,1,153,3,-35,-35,10,8,0,0,143,CDP,1.5,1,1.5,0,0,0,0,0,0,-1,-1
1552,C,,Rock'n'Roll-Juveniles,First round,2,135,3,-10,-10,11.25,9,0,0,143,DF,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1552,C,,Rock'n'Roll-Juveniles,First round,2,182,3,-15,-25,12.5,9,-2,0,143,CDP,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1552,C,,Rock'n'Roll-Juveniles,First round,2,182,3,-15,-25,12.5,9,-2,0,143,DF,2,1.5,1.5,0,0,0,0,0,0,-1,-1
1552,C,,Rock'n'Roll-Juveniles,First round,2,135,3,-10,-10,11.25,9,0,0,143,CDP,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1552,C,,Rock'n'Roll-Juveniles,First round,3,149,3,-25,-35,8.75,9,0,0,143,DF,1,1,1.5,0,0,0,0,0,0,-1,-1
1552,C,,Rock'n'Roll-Juveniles,First round,3,78,3,-15,-15,11.25,9,0,0,143,CDP,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1552,C,,Rock'n'Roll-Juveniles,First round,3,78,3,-15,-15,11.25,9,0,0,143,DF,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1552,C,,Rock'n'Roll-Juveniles,First round,3,149,3,-25,-35,8.75,9,0,0,143,CDP,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1552,C,,Rock'n'Roll-Juveniles,First round,4,235,3,-25,-25,8.75,8,0,0,143,DF,1,1,1.5,0,0,0,0,0,0,-1,-1
1552,C,,Rock'n'Roll-Juveniles,First round,4,235,3,-25,-25,8.75,8,0,0,143,CDP,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1552,C,,Rock'n'Roll-Juveniles,First round,4,7,3,-35,-25,10,9,0,0,143,CDP,1,2,1.5,0,0,0,0,0,0,-1,-1
