rt_id,Judge,Type,Category,Round,Heat,Stn,stanica,FW,FM,DF,CO,sm,bm,turnir,krit,val1,val2,val3,Acro 1,Acro 2,Acro 3,Acro 4,Acro 5,Acro 6,Acro 7,Acro 8
1629,B,,Rock'n'Roll-Beginners,Final,1,134,1,-35,6.5,11.25,9,-8,0,148,DF,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1629,B,,Rock'n'Roll-Beginners,Final,1,134,1,-35,6.5,11.25,9,-8,0,148,CO,2,1.5,1,0,0,0,0,0,0,-1,-1
1629,B,,Rock'n'Roll-Beginners,Final,2,131,1,-25,7.5,10,7,-2,0,148,CO,1.5,1,1,0,0,0,0,0,0,-1,-1
1629,B,,Rock'n'Roll-Beginners,Final,2,131,1,-25,7.5,10,7,-2,0,148,DF,1.5,1,1.5,0,0,0,0,0,0,-1,-1
1629,B,,Rock'n'Roll-Beginners,Final,3,3,1,-25,5,8.75,6,-2,0,148,CO,1,1,1,0,0,0,0,0,0,-1,-1
1629,B,,Rock'n'Roll-Beginners,Final,3,3,1,-25,5,8.75,6,-2,0,148,DF,1,1,1.5,0,0,0,0,0,0,-1,-1
1629,B,,Rock'n'Roll-Beginners,Final,4,57,1,-25,6.5,7.5,7,-2,0,148,CO,1.5,1,1,0,0,0,0,0,0,-1,-1
1629,B,,Rock'n'Roll-Beginners,Final,4,57,1,-25,6.5,7.5,7,-2,0,148,DF,1,1,1,0,0,0,0,0,0,-1,-1
1629,B,,Rock'n'Roll-Beginners,Final,5,27,1,-25,7.5,11.25,8,0,0,148,CO,1.5,1.5,1,0,0,0,0,0,0,-1,-1
1629,B,,Rock'n'Roll-Beginners,Final,5,27,1,-25,7.5,11.25,8,0,0,148,DF,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1629,B,,Rock'n'Roll-Beginners,Final,6,193,1,-35,6.5,12.5,9,0,0,148,CO,2,1.5,1,0,0,0,0,0,0,-1,-1
1629,B,,Rock'n'Roll-Beginners,Final,6,193,1,-35,6.5,12.5,9,0,0,148,DF,2,1.5,1.5,0,0,0,0,0,0,-1,-1
1629,C,,Rock'n'Roll-Beginners,Final,1,134,2,-35,5,10,9,0,0,148,DF,0.5,1.5,2,0,0,0,0,0,0,-1,-1
1629,C,,Rock'n'Roll-Beginners,Final,1,134,2,-35,5,10,9,0,0,148,CO,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1629,C,,Rock'n'Roll-Beginners,Final,2,131,2,-25,7.5,12.5,7,-4,0,148,CO,1,1.5,1,0,0,0,0,0,0,-1,-1
1629,C,,Rock'n'Roll-Beginners,Final,2,131,2,-25,7.5,12.5,7,-4,0,148,DF,1,2,1.5,0,0,0,0,0,0,-1,-1
1629,C,,Rock'n'Roll-Beginners,Final,3,3,2,-50,6.5,11.25,8,0,0,148,CO,1.5,1.5,1,0,0,0,0,0,0,-1,-1
1629,C,,Rock'n'Roll-Beginners,Final,3,3,2,-50,6.5,11.25,8,0,0,148,DF,1,1,2,0,0,0,0,0,0,-1,-1
1629,C,,Rock'n'Roll-Beginners,Final,4,57,2,-25,7.5,12.5,11,0,0,148,CO,1.5,1.5,2,0,0,0,0,0,0,-1,-1
1629,C,,Rock'n'Roll-Beginners,Final,4,57,2,-25,7.5,12.5,11,0,0,148,DF,1,1.5,2,0,0,0,0,0,0,-1,-1
1629,C,,Rock'n'Roll-Beginners,Final,5,27,2,-35,5,11.25,9,0,0,148,DF,1.5,1,1.5,0,0,0,0,0,0,-1,-1
1629,C,,Rock'n'Roll-Beginners,Final,5,27,2,-35,5,11.25,9,0,0,148,CO,1,2,1,0,0,0,0,0,0,-1,-1
1629,C,,Rock'n'Roll-Beginners,Final,6,193,2,-25,7.5,12.5,11,0,0,148,DF,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1629,C,,Rock'n'Roll-Beginners,Final,6,193,2,-25,7.5,12.5,11,0,0,148,CO,1.5,2,1.5,0,0,0,0,0,0,-1,-1
1629,D,,Rock'n'Roll-Beginners,Final,1,134,3,-15,8.5,13.75,9,0,0,148,CO,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1629,D,,Rock'n'Roll-Beginners,Final,1,134,3,-15,8.5,13.75,9,0,0,148,DF,2,2,1.5,0,0,0,0,0,0,-1,-1
1629,D,,Rock'n'Roll-Beginners,Final,2,131,3,-35,6.5,10,8,0,-10,148,CO,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1629,D,,Rock'n'Roll-Beginners,Final,2,131,3,-35,6.5,10,8,0,-10,148,DF,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1629,D,,Rock'n'Roll-Beginners,Final,3,3,3,-50,6.5,8.75,9,0,0,148,CO,1,2,1.5,0,0,0,0,0,0,-1,-1
1629,D,,Rock'n'Roll-Beginners,Final,3,3,3,-50,6.5,8.75,9,0,0,148,DF,1,1,1.5,0,0,0,0,0,0,-1,-1
1629,D,,Rock'n'Roll-Beginners,Final,4,57,3,-35,5,10,8,0,0,148,CO,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1629,D,,Rock'n'Roll-Beginners,Final,4,57,3,-35,5,10,8,0,0,148,DF,1.5,1,1.5,0,0,0,0,0,0,-1,-1
1629,D,,Rock'n'Roll-Beginners,Final,5,27,3,-50,6.5,11.25,10,0,0,148,CO,1.5,2,1.5,0,0,0,0,0,0,-1,-1
