rt_id,Judge,tip,Category,Round,Heat,Stn,stanica,Acro 1,Acro 2,Acro 3,Acro 4,Acro 5,Acro 6,bm,turnir
1530,B,A,Boogie-Woogie-Juniors,Final,1,150,1,0,0,0,0,0,0,0,142
1530,B,A,Boogie-Woogie-Juniors,Final,2,386,1,0,0,0,0,0,0,0,142
1530,B,A,Boogie-Woogie-Juniors,Final,3,250,1,0,0,0,0,0,0,0,142
1530,B,A,Boogie-Woogie-Juniors,Final,4,193,1,0,0,0,0,0,0,0,142
1530,D,A,Boogie-Woogie-Juniors,Final,1,150,2,0,0,0,0,0,0,0,142
1530,D,A,Boogie-Woogie-Juniors,Final,2,386,2,0,0,0,0,0,0,0,142
1530,D,A,Boogie-Woogie-Juniors,Final,3,250,2,0,0,0,0,0,0,0,142
1530,D,A,Boogie-Woogie-Juniors,Final,4,193,2,0,0,0,0,0,0,0,142
1534,B,A,Boogie-Woogie-Seniors,Final - slow,1,42,1,0,0,0,0,0,0,0,142
1534,F,A,Boogie-Woogie-Seniors,Final - slow,1,42,4,0,0,0,0,0,0,0,142
1537,A,A,Rock'n'Roll-Main Class Contact Style,First round,1,172,1,-50,-50,-35,-25,-50,-1,0,142
1537,A,A,Rock'n'Roll-Main Class Contact Style,First round,1,71,1,-25,-15,-25,-25,-35,-1,0,142
1537,A,A,Rock'n'Roll-Main Class Contact Style,First round,2,362,1,-5,-10,-10,-10,-10,-1,0,142
1537,A,A,Rock'n'Roll-Main Class Contact Style,First round,2,181,1,-25,-25,-35,-15,-50,-1,0,142
1537,A,A,Rock'n'Roll-Main Class Contact Style,First round,3,283,1,-15,-25,-25,-15,-35,-1,0,142
1537,A,A,Rock'n'Roll-Main Class Contact Style,First round,3,363,1,-10,-25,-10,-25,-25,-1,0,142
1537,A,A,Rock'n'Roll-Main Class Contact Style,First round,4,179,1,-25,-15,-35,-15,-75,-1,0,142
1537,G,A,Rock'n'Roll-Main Class Contact Style,First round,1,71,3,-10,-10,-15,-10,-15,-1,0,142
1537,G,A,Rock'n'Roll-Main Class Contact Style,First round,1,172,3,-35,-25,-15,-10,-15,-1,0,142
1537,G,A,Rock'n'Roll-Main Class Contact Style,First round,2,181,3,-5,-10,-25,-10,-15,-1,0,142
1537,G,A,Rock'n'Roll-Main Class Contact Style,First round,2,362,3,-5,-5,-5,-5,0,-1,0,142
1537,G,A,Rock'n'Roll-Main Class Contact Style,First round,3,363,3,0,-5,0,-10,-10,-1,0,142
1537,G,A,Rock'n'Roll-Main Class Contact Style,First round,3,283,3,-5,-10,-10,-10,-10,-1,0,142
1537,G,A,Rock'n'Roll-Main Class Contact Style,First round,4,179,3,-5,-5,-15,-10,-25,-1,0,142
1537,H,A,Rock'n'Roll-Main Class Contact Style,First round,1,172,4,-35,-15,-35,-15,-50,-1,0,142
1537,H,A,Rock'n'Roll-Main Class Contact Style,First round,1,71,4,-15,-15,-25,-50,-25,-1,0,142
1537,H,A,Rock'n'Roll-Main Class Contact Style,First round,2,362,4,0,-5,-10,0,-5,-1,0,142
1537,H,A,Rock'n'Roll-Main Class Contact Style,First round,2,181,4,-15,-25,-35,-10,-25,-1,0,142
1537,H,A,Rock'n'Roll-Main Class Contact Style,First round,3,283,4,-10,-15,-15,-25,-25,-1,0,142
1537,H,A,Rock'n'Roll-Main Class Contact Style,First round,3,363,4,-5,-10,-5,-10,-5,-1,0,142
1537,H,A,Rock'n'Roll-Main Class Contact Style,First round,4,179,4,-15,-10,-15,-25,-50,-1,0,142
1538,A,A,Rock'n'Roll-Main Class Start,Final,1,28,1,-35,-25,-35,-35,-25,-15,0,142
1538,A,A,Rock'n'Roll-Main Class Start,Final,2,176,1,-35,-100,-25,-50,-75,-35,0,142
1538,A,A,Rock'n'Roll-Main Class Start,Final,3,142,1,-15,-25,-35,-50,-50,-35,0,142
1538,C,A,Rock'n'Roll-Main Class Start,Final,1,28,2,-10,-15,-25,-25,-15,-15,0,142
1538,C,A,Rock'n'Roll-Main Class Start,Final,2,176,2,-15,-50,-25,-75,-35,-25,0,142
1538,C,A,Rock'n'Roll-Main Class Start,Final,3,142,2,-15,-15,-35,-35,-35,-15,0,142
1538,G,A,Rock'n'Roll-Main Class Start,Final,1,28,3,-15,-10,-15,-35,-15,-10,0,142
1538,G,A,Rock'n'Roll-Main Class Start,Final,2,176,3,-15,-50,-15,-35,-25,-15,0,142
1538,G,A,Rock'n'Roll-Main Class Start,Final,3,142,3,-10,-5,-10,-50,-35,-10,0,142
1539,B,A,Boogie-Woogie-Seniors,Final - fast,1,42,1,0,0,0,0,0,0,0,142
1539,F,A,Boogie-Woogie-Seniors,Final - fast,1,42,4,0,0,0,0,0,0,0,142
1540,B,A,Boogie-Woogie-Main Class,Final - slow,1,24,1,0,0,0,0,0,0,0,142
1540,E,A,Boogie-Woogie-Main Class,Final - slow,1,24,3,0,0,0,0,0,0,0,142
1544,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,181,1,-1,-1,-1,-1,-1,-1,0,142
1544,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,179,1,-1,-1,-1,-1,-1,-1,0,142
1544,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,283,1,-1,-1,-1,-1,-1,-1,0,142
1544,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,172,1,-1,-1,-1,-1,-1,-1,0,142
1544,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,363,1,-1,-1,-1,-1,-1,-1,0,142
1544,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,362,1,-1,-1,-1,-1,-1,-1,0,142
1544,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,7,71,1,-1,-1,-1,-1,-1,-1,0,142
1544,G,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,181,3,-1,-1,-1,-1,-1,-1,0,142
1544,G,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,179,3,-1,-1,-1,-1,-1,-1,0,142
1544,G,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,283,3,-1,-1,-1,-1,-1,-1,0,142
1544,G,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,172,3,-1,-1,-1,-1,-1,-1,0,142
1544,G,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,363,3,-1,-1,-1,-1,-1,-1,0,142
1544,G,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,362,3,-1,-1,-1,-1,-1,-1,0,142
1544,G,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,7,71,3,-1,-1,-1,-1,-1,-1,0,142
1544,H,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,181,4,-1,-1,-1,-1,-1,-1,0,142
1544,H,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,179,4,-1,-1,-1,-1,-1,-1,0,142
1544,H,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,283,4,-1,-1,-1,-1,-1,-1,0,142
1544,H,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,172,4,-1,-1,-1,-1,-1,-1,0,142
1544,H,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,363,4,-1,-1,-1,-1,-1,-1,0,142
