rt_id,Judge,tip,Category,Round,Heat,Stn,stanica,Acro 1,Acro 2,Acro 3,Acro 4,Acro 5,Acro 6,bm,turnir
1715,B,A,Rock'n'Roll-Main Class Start,First round,1,28,2,-25,-15,-25,-25,-15,-1,0,151
1715,B,A,Rock'n'Roll-Main Class Start,First round,1,176,2,-25,-15,-25,-35,-35,-1,0,151
1715,B,A,Rock'n'Roll-Main Class Start,First round,2,142,2,-15,-15,-50,-25,-35,-1,0,151
1715,B,A,Rock'n'Roll-Main Class Start,First round,2,236,2,-15,-10,-10,-35,-50,-1,0,151
1715,B,A,Rock'n'Roll-Main Class Start,First round,3,371,2,-25,-50,-25,-35,-75,-1,0,151
1715,B,A,Rock'n'Roll-Main Class Start,First round,3,223,2,-50,-50,-35,-15,-25,-1,0,151
1715,B,A,Rock'n'Roll-Main Class Start,First round,4,36,2,-15,-15,-15,-25,-15,-1,0,151
1715,B,A,Rock'n'Roll-Main Class Start,First round,4,318,2,-15,-25,-35,-50,-25,-1,0,151
1715,F,A,Rock'n'Roll-Main Class Start,First round,1,176,6,-15,-10,-10,-15,-25,-1,0,151
1715,F,A,Rock'n'Roll-Main Class Start,First round,1,28,6,-10,-25,-15,-25,-10,-1,0,151
1715,F,A,Rock'n'Roll-Main Class Start,First round,2,142,6,0,-5,-15,-5,-15,-1,0,151
1715,F,A,Rock'n'Roll-Main Class Start,First round,2,236,6,0,-5,-10,-15,-15,-1,0,151
1715,F,A,Rock'n'Roll-Main Class Start,First round,3,371,6,-10,-25,-5,-15,-5,-1,0,151
1715,F,A,Rock'n'Roll-Main Class Start,First round,3,223,6,-10,-25,-10,0,-10,-1,0,151
1715,F,A,Rock'n'Roll-Main Class Start,First round,4,36,6,0,-5,-5,-10,0,-1,0,151
1715,F,A,Rock'n'Roll-Main Class Start,First round,4,318,6,-5,-5,-5,-10,-5,-1,0,151
1715,G,A,Rock'n'Roll-Main Class Start,First round,1,176,7,-10,-15,-15,-15,-10,-1,0,151
1715,G,A,Rock'n'Roll-Main Class Start,First round,1,28,7,-15,-10,-15,-25,-25,-1,0,151
1715,G,A,Rock'n'Roll-Main Class Start,First round,2,142,7,-5,-10,-15,-25,-15,-1,0,151
1715,G,A,Rock'n'Roll-Main Class Start,First round,2,236,7,-5,-5,0,-25,-15,-1,0,151
1715,G,A,Rock'n'Roll-Main Class Start,First round,3,371,7,-10,-25,-10,-25,-15,-1,0,151
1715,G,A,Rock'n'Roll-Main Class Start,First round,3,223,7,-25,-50,-25,-10,-25,-1,0,151
1715,G,A,Rock'n'Roll-Main Class Start,First round,4,36,7,-5,-10,-15,-25,-15,-1,0,151
1715,G,A,Rock'n'Roll-Main Class Start,First round,4,318,7,-5,-5,-10,-25,-25,-1,0,151
1717,C,A,Rock'n'Roll-Main Class Free Style,First round,1,263,3,-15,-15,-15,-25,-10,-1,0,151
1717,C,A,Rock'n'Roll-Main Class Free Style,First round,1,41,3,-10,-10,-15,-15,-15,-1,0,151
1717,C,A,Rock'n'Roll-Main Class Free Style,First round,2,90,3,-10,-10,-5,-15,-5,-1,0,151
1717,C,A,Rock'n'Roll-Main Class Free Style,First round,2,63,3,-35,-15,-10,-5,-5,-1,0,151
1717,C,A,Rock'n'Roll-Main Class Free Style,First round,3,184,3,-10,-15,-15,-15,-10,-1,0,151
1717,C,A,Rock'n'Roll-Main Class Free Style,First round,3,86,3,-10,-15,-10,-5,-5,-1,0,151
1717,C,A,Rock'n'Roll-Main Class Free Style,First round,4,47,3,-10,-10,-10,-10,-5,-1,0,151
1717,E,A,Rock'n'Roll-Main Class Free Style,First round,1,41,5,-35,-50,-10,-25,-35,-1,0,151
1717,E,A,Rock'n'Roll-Main Class Free Style,First round,1,263,5,-15,-25,-25,-35,-15,-1,0,151
1717,E,A,Rock'n'Roll-Main Class Free Style,First round,2,90,5,-10,-35,-15,-25,-10,-1,0,151
1717,E,A,Rock'n'Roll-Main Class Free Style,First round,2,63,5,-35,-15,-25,-15,0,-1,0,151
1717,E,A,Rock'n'Roll-Main Class Free Style,First round,3,184,5,0,-15,-10,0,-10,-1,0,151
1717,E,A,Rock'n'Roll-Main Class Free Style,First round,3,86,5,-15,-25,-5,0,0,-1,0,151
1717,E,A,Rock'n'Roll-Main Class Free Style,First round,4,47,5,0,-10,-35,-15,0,-1,0,151
1717,G,A,Rock'n'Roll-Main Class Free Style,First round,1,41,7,-15,-15,-15,-10,-10,-1,0,151
1717,G,A,Rock'n'Roll-Main Class Free Style,First round,1,263,7,-10,-15,-25,-15,-10,-1,0,151
1717,G,A,Rock'n'Roll-Main Class Free Style,First round,2,90,7,0,-25,-10,-15,-5,-1,0,151
1717,G,A,Rock'n'Roll-Main Class Free Style,First round,2,63,7,-25,-10,-15,-15,-5,-1,0,151
1717,G,A,Rock'n'Roll-Main Class Free Style,First round,3,184,7,-5,-5,-10,-10,0,-1,0,151
1717,G,A,Rock'n'Roll-Main Class Free Style,First round,3,86,7,-15,-25,-10,-15,-5,-1,0,151
1717,G,A,Rock'n'Roll-Main Class Free Style,First round,4,47,7,-5,-10,-15,-5,0,-1,0,151
1727,H,A,Boogie-Woogie-Juniors,Final,1,386,2,0,0,0,0,0,0,0,151
1727,H,A,Boogie-Woogie-Juniors,Final,2,250,2,0,0,0,0,0,0,0,151
1727,H,A,Boogie-Woogie-Juniors,Final,3,150,2,0,0,0,0,0,0,0,151
1727,H,A,Boogie-Woogie-Juniors,Final,4,193,2,0,0,0,0,0,0,0,151
1727,J,A,Boogie-Woogie-Juniors,Final,1,386,4,0,0,0,0,0,0,0,151
1727,J,A,Boogie-Woogie-Juniors,Final,2,250,4,0,0,0,0,0,0,0,151
1727,J,A,Boogie-Woogie-Juniors,Final,3,150,4,0,0,0,0,0,0,0,151
1727,J,A,Boogie-Woogie-Juniors,Final,4,193,4,0,0,0,0,0,0,0,151
1728,G,A,Boogie-Woogie-Main Class,Final - slow,1,369,1,0,0,0,0,0,0,0,151
1728,G,A,Boogie-Woogie-Main Class,Final - slow,2,24,1,0,0,0,0,0,0,0,151
1728,G,A,Boogie-Woogie-Main Class,Final - slow,3,257,1,0,0,0,0,0,0,0,151
1728,H,A,Boogie-Woogie-Main Class,Final - slow,1,369,2,0,0,0,0,0,0,0,151
1728,H,A,Boogie-Woogie-Main Class,Final - slow,2,24,2,0,0,0,0,0,0,0,151
1728,H,A,Boogie-Woogie-Main Class,Final - slow,3,257,2,0,0,0,0,0,0,0,151
1730,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,148,1,0,0,0,0,0,0,0,151
1730,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,224,1,0,0,0,0,0,0,0,151
1730,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,181,1,0,0,0,0,0,0,0,151
1730,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,300,1,0,0,0,0,0,0,0,151
