rt_id,Judge,tip,Category,Round,Heat,Stn,stanica,Acro 1,Acro 2,Acro 3,Acro 4,Acro 5,Acro 6,bm,turnir,Acro_7,Acro_8,fall
1742,A,A,Rock'n'Roll-Main Class Start,First round,1,371,1,-15,-15,-15,-25,-35,-1,0,152,-1,-1,0
1742,A,A,Rock'n'Roll-Main Class Start,First round,1,226,1,-10,-15,-10,-25,-15,-1,0,152,-1,-1,0
1742,A,A,Rock'n'Roll-Main Class Start,First round,2,0,1,-15,-10,-15,-15,-10,-1,0,152,-1,-1,0
1742,A,A,Rock'n'Roll-Main Class Start,First round,2,197,1,-5,-10,-25,-35,-15,-1,0,152,-1,-1,0
1742,A,A,Rock'n'Roll-Main Class Start,First round,3,332,1,-10,-10,-50,-35,-10,-1,0,152,-1,-1,0
1742,A,A,Rock'n'Roll-Main Class Start,First round,3,223,1,-25,-10,-10,-25,-35,-1,0,152,-1,-1,0
1742,A,A,Rock'n'Roll-Main Class Start,First round,4,142,1,-5,0,-5,-10,-10,-1,0,152,-1,-1,0
1742,A,A,Rock'n'Roll-Main Class Start,First round,4,236,1,0,-10,-5,-15,-10,-1,0,152,-1,-1,0
1742,E,A,Rock'n'Roll-Main Class Start,First round,1,226,3,-5,-15,-25,-25,-15,-1,0,152,-1,-1,0
1742,E,A,Rock'n'Roll-Main Class Start,First round,1,371,3,-25,-15,-25,-35,-25,-1,0,152,-1,-1,0
1742,E,A,Rock'n'Roll-Main Class Start,First round,2,197,3,-25,-15,-25,-35,-15,-1,0,152,-1,-1,0
1742,E,A,Rock'n'Roll-Main Class Start,First round,2,0,3,-25,-25,-25,-15,-10,-1,0,152,-1,-1,0
1742,E,A,Rock'n'Roll-Main Class Start,First round,3,332,3,-15,-10,-50,-25,-15,-1,0,152,-1,-1,0
1742,E,A,Rock'n'Roll-Main Class Start,First round,3,223,3,-25,-25,-35,-25,-35,-1,0,152,-1,-1,0
1742,E,A,Rock'n'Roll-Main Class Start,First round,4,142,3,-15,-25,-15,-15,-15,-1,0,152,-1,-1,0
1742,E,A,Rock'n'Roll-Main Class Start,First round,4,236,3,-15,-15,-10,-15,-25,-1,0,152,-1,-1,0
1742,G,A,Rock'n'Roll-Main Class Start,First round,1,371,4,-5,-10,-10,-15,-25,-1,0,152,-1,-1,0
1742,G,A,Rock'n'Roll-Main Class Start,First round,1,226,4,-5,-10,-5,-15,-15,-1,0,152,-1,-1,0
1742,G,A,Rock'n'Roll-Main Class Start,First round,2,0,4,-10,-5,-15,-15,-5,-1,0,152,-1,-1,0
1742,G,A,Rock'n'Roll-Main Class Start,First round,2,197,4,-10,-5,-10,-15,-15,-1,0,152,-1,-1,0
1742,G,A,Rock'n'Roll-Main Class Start,First round,3,332,4,-5,-5,-25,-15,-10,-1,0,152,-1,-1,0
1742,G,A,Rock'n'Roll-Main Class Start,First round,3,223,4,-15,-15,-10,-15,-35,-1,0,152,-1,-1,0
1742,G,A,Rock'n'Roll-Main Class Start,First round,4,142,4,0,-5,0,-15,-10,-1,0,152,-1,-1,0
1742,G,A,Rock'n'Roll-Main Class Start,First round,4,236,4,-5,0,-5,-5,-15,-1,0,152,-1,-1,0
1743,B,A,Rock'n'Roll-Main Class Contact Style,First round,1,71,2,-25,-25,-25,-15,-10,-1,0,152,-1,-1,0
1743,B,A,Rock'n'Roll-Main Class Contact Style,First round,1,148,2,-5,-10,-15,-5,-10,-1,0,152,-1,-1,0
1743,B,A,Rock'n'Roll-Main Class Contact Style,First round,2,300,2,-10,-15,-15,-10,-25,-1,0,152,-1,-1,0
1743,B,A,Rock'n'Roll-Main Class Contact Style,First round,2,181,2,-15,-15,-10,-5,-25,-1,0,152,-1,-1,0
1743,B,A,Rock'n'Roll-Main Class Contact Style,First round,3,28,2,-15,-5,-10,-15,-5,-1,0,152,-1,-1,0
1743,B,A,Rock'n'Roll-Main Class Contact Style,First round,3,363,2,-15,-10,-75,-15,-50,-1,0,152,-1,-1,0
1743,B,A,Rock'n'Roll-Main Class Contact Style,First round,4,179,2,-25,-10,-10,-15,-15,-1,0,152,-1,-1,0
1743,B,A,Rock'n'Roll-Main Class Contact Style,First round,4,160,2,-5,-10,-15,-25,-35,-1,0,152,-1,-1,0
1743,B,A,Rock'n'Roll-Main Class Contact Style,First round,5,36,2,-15,-35,-25,-75,-25,-1,0,152,-1,-1,0
1743,B,A,Rock'n'Roll-Main Class Contact Style,First round,5,430,2,-10,-15,-15,-25,-75,-1,0,152,-1,-1,0
1743,B,A,Rock'n'Roll-Main Class Contact Style,First round,6,283,2,-25,-15,-35,-25,-25,-1,0,152,-1,-1,0
1743,B,A,Rock'n'Roll-Main Class Contact Style,First round,6,362,2,0,-5,-25,-15,-5,-1,0,152,-1,-1,0
1743,E,A,Rock'n'Roll-Main Class Contact Style,First round,1,148,3,-10,-10,-10,-10,-5,-1,0,152,-1,-1,0
1743,E,A,Rock'n'Roll-Main Class Contact Style,First round,1,71,3,-15,-10,-15,-25,-15,-1,0,152,-1,-1,0
1743,E,A,Rock'n'Roll-Main Class Contact Style,First round,2,300,3,-15,-25,-15,-15,-15,-1,0,152,-1,-1,0
1743,E,A,Rock'n'Roll-Main Class Contact Style,First round,2,181,3,-10,-15,-15,-15,-15,-1,0,152,-1,-1,0
1743,E,A,Rock'n'Roll-Main Class Contact Style,First round,3,28,3,-15,-10,-15,-15,-10,-1,0,152,-1,-1,0
1743,E,A,Rock'n'Roll-Main Class Contact Style,First round,3,363,3,-15,-25,-75,-25,-35,-1,0,152,-1,-1,0
1743,E,A,Rock'n'Roll-Main Class Contact Style,First round,4,179,3,-15,-10,-10,-15,-15,-1,0,152,-1,-1,0
1743,E,A,Rock'n'Roll-Main Class Contact Style,First round,4,160,3,-15,-15,-25,-25,-25,-1,0,152,-1,-1,0
1743,E,A,Rock'n'Roll-Main Class Contact Style,First round,5,430,3,-15,-35,-25,-25,-35,-1,0,152,-1,-1,0
1743,E,A,Rock'n'Roll-Main Class Contact Style,First round,5,36,3,-10,-15,-25,-35,-25,-1,0,152,-1,-1,0
1743,E,A,Rock'n'Roll-Main Class Contact Style,First round,6,362,3,-5,-5,-15,-25,-15,-1,0,152,-1,-1,0
1743,E,A,Rock'n'Roll-Main Class Contact Style,First round,6,283,3,-35,-15,-15,-15,-25,-1,0,152,-1,-1,0
1743,H,A,Rock'n'Roll-Main Class Contact Style,First round,1,148,5,-15,-15,-15,-35,-25,-1,0,152,-1,-1,0
1743,H,A,Rock'n'Roll-Main Class Contact Style,First round,1,71,5,-10,-15,-15,-35,-25,-1,0,152,-1,-1,0
1743,H,A,Rock'n'Roll-Main Class Contact Style,First round,2,300,5,-5,-10,-25,-15,-15,-1,0,152,-1,-1,0
1743,H,A,Rock'n'Roll-Main Class Contact Style,First round,2,181,5,-10,-25,-10,-25,-15,-1,0,152,-1,-1,0
1743,H,A,Rock'n'Roll-Main Class Contact Style,First round,3,28,5,-25,-25,-25,-35,-25,-1,0,152,-1,-1,0
1743,H,A,Rock'n'Roll-Main Class Contact Style,First round,3,363,5,-15,-25,-75,-35,-50,-1,0,152,-1,-1,0
1743,H,A,Rock'n'Roll-Main Class Contact Style,First round,4,179,5,-35,-10,-25,-15,-35,-1,0,152,-1,-1,0
1743,H,A,Rock'n'Roll-Main Class Contact Style,First round,4,160,5,-10,-25,-15,-35,-50,-1,0,152,-1,-1,0
1743,H,A,Rock'n'Roll-Main Class Contact Style,First round,5,36,5,-10,-35,-35,-50,-35,-1,0,152,-1,-1,0
1743,H,A,Rock'n'Roll-Main Class Contact Style,First round,5,430,5,-5,-10,-25,-35,-50,-1,0,152,-1,-1,0
1743,H,A,Rock'n'Roll-Main Class Contact Style,First round,6,283,5,-15,-15,-35,-10,-50,-1,0,152,-1,-1,0
1743,H,A,Rock'n'Roll-Main Class Contact Style,First round,6,362,5,-5,0,-15,-25,-10,-1,0,152,-1,-1,0
1747,A,A,Rock'n'Roll-Main Class Start,Final,1,371,1,-25,-10,-15,-25,-50,-35,0,152,-1,-1,0
1747,A,A,Rock'n'Roll-Main Class Start,Final,2,223,1,-35,-10,-10,-25,-35,-35,0,152,-1,-1,0
1747,A,A,Rock'n'Roll-Main Class Start,Final,3,236,1,-15,-15,-15,-10,-15,-35,0,152,-1,-1,0
1747,A,A,Rock'n'Roll-Main Class Start,Final,4,226,1,0,-25,-5,-5,-25,-15,0,152,-1,-1,0
1747,A,A,Rock'n'Roll-Main Class Start,Final,5,60,1,-5,-25,-10,-10,-15,-10,0,152,-1,-1,0
1747,A,A,Rock'n'Roll-Main Class Start,Final,6,142,1,-5,0,-5,-10,-10,-10,0,152,-1,-1,0
1747,E,A,Rock'n'Roll-Main Class Start,Final,1,371,3,-15,-25,-15,-25,-35,-25,0,152,-1,-1,0
1747,E,A,Rock'n'Roll-Main Class Start,Final,2,223,3,-25,-15,-15,-15,-15,-35,0,152,-1,-1,0
1747,E,A,Rock'n'Roll-Main Class Start,Final,3,236,3,-15,-15,-15,-15,-25,-25,0,152,-1,-1,0
1747,E,A,Rock'n'Roll-Main Class Start,Final,4,226,3,-10,-15,-25,-15,-25,-10,0,152,-1,-1,0
1747,E,A,Rock'n'Roll-Main Class Start,Final,5,60,3,-25,-25,-15,-25,-15,-15,0,152,-1,-1,0
1747,E,A,Rock'n'Roll-Main Class Start,Final,6,142,3,-15,-10,-10,-50,-15,-15,0,152,-1,-1,0
1747,G,A,Rock'n'Roll-Main Class Start,Final,1,371,4,-15,-15,-10,-15,-15,-35,0,152,-1,-1,0
1747,G,A,Rock'n'Roll-Main Class Start,Final,2,223,4,-25,-15,-10,-25,-35,-50,0,152,-1,-1,0
1747,G,A,Rock'n'Roll-Main Class Start,Final,3,236,4,-10,-5,-10,0,-15,-25,0,152,-1,-1,0
1747,G,A,Rock'n'Roll-Main Class Start,Final,4,226,4,-5,-15,-10,-5,-15,-10,0,152,-1,-1,0
1747,G,A,Rock'n'Roll-Main Class Start,Final,5,60,4,-15,-15,-10,-10,-15,-35,0,152,-1,-1,0
1747,G,A,Rock'n'Roll-Main Class Start,Final,6,142,4,-5,-10,0,-25,-10,-10,0,152,-1,-1,0
1748,B,A,Rock'n'Roll-Main Class Contact Style,Hope round,1,28,2,-35,-10,-10,-15,-10,-1,0,152,-1,-1,0
1748,B,A,Rock'n'Roll-Main Class Contact Style,Hope round,1,283,2,-15,-25,-15,-10,-15,-1,0,152,-1,-1,0
1748,B,A,Rock'n'Roll-Main Class Contact Style,Hope round,2,363,2,-15,-15,-15,-10,-100,-1,0,152,-1,-1,0
1748,B,A,Rock'n'Roll-Main Class Contact Style,Hope round,2,71,2,-15,-35,-50,-25,-25,-1,0,152,-1,-1,0
1748,B,A,Rock'n'Roll-Main Class Contact Style,Hope round,3,300,2,-10,-25,-15,-35,-25,-1,0,152,-1,-1,0
1748,B,A,Rock'n'Roll-Main Class Contact Style,Hope round,3,160,2,-15,-25,-15,-10,-50,-1,0,152,-1,-1,0
1748,B,A,Rock'n'Roll-Main Class Contact Style,Hope round,4,36,2,-35,-25,-15,-15,-10,-1,0,152,-1,-1,0
1748,B,A,Rock'n'Roll-Main Class Contact Style,Hope round,4,430,2,-10,-5,-10,-5,-35,-1,0,152,-1,-1,0
1748,E,A,Rock'n'Roll-Main Class Contact Style,Hope round,1,283,3,-15,-25,-15,-10,-15,-1,0,152,-1,-1,0
1748,E,A,Rock'n'Roll-Main Class Contact Style,Hope round,1,28,3,-35,-15,-15,-15,-15,-1,0,152,-1,-1,0
1748,E,A,Rock'n'Roll-Main Class Contact Style,Hope round,2,363,3,-15,-10,-15,-15,-75,-1,0,152,-1,-1,0
1748,E,A,Rock'n'Roll-Main Class Contact Style,Hope round,2,71,3,-10,-10,-25,-15,-15,-1,0,152,-1,-1,0
1748,E,A,Rock'n'Roll-Main Class Contact Style,Hope round,3,300,3,-10,-15,-15,-25,-15,-1,0,152,-1,-1,0
1748,E,A,Rock'n'Roll-Main Class Contact Style,Hope round,3,160,3,-10,-10,-15,-10,-15,-1,0,152,-1,-1,0
1748,E,A,Rock'n'Roll-Main Class Contact Style,Hope round,4,36,3,-15,-10,-25,-10,-15,-1,0,152,-1,-1,0
1748,E,A,Rock'n'Roll-Main Class Contact Style,Hope round,4,430,3,-10,-15,-10,-25,-35,-1,0,152,-1,-1,0
1748,H,A,Rock'n'Roll-Main Class Contact Style,Hope round,1,283,5,-15,-25,-25,-10,-35,-1,0,152,-1,-1,0
1748,H,A,Rock'n'Roll-Main Class Contact Style,Hope round,1,28,5,-25,-15,-35,-15,-10,-1,0,152,-1,-1,0
1748,H,A,Rock'n'Roll-Main Class Contact Style,Hope round,2,363,5,-15,-15,-15,-25,-75,-1,0,152,-1,-1,0
1748,H,A,Rock'n'Roll-Main Class Contact Style,Hope round,2,71,5,-10,-15,-25,-25,-15,-1,0,152,-1,-1,0
1748,H,A,Rock'n'Roll-Main Class Contact Style,Hope round,3,300,5,-10,-10,-35,-35,-15,-1,0,152,-1,-1,0
1748,H,A,Rock'n'Roll-Main Class Contact Style,Hope round,3,160,5,-15,-15,-15,-15,-50,-1,0,152,-1,-1,0
1748,H,A,Rock'n'Roll-Main Class Contact Style,Hope round,4,36,5,-25,-25,-35,-35,-35,-1,0,152,-1,-1,0
1748,H,A,Rock'n'Roll-Main Class Contact Style,Hope round,4,430,5,-10,-15,-25,-25,-75,-1,0,152,-1,-1,0
1749,F,A,Boogie-Woogie-Seniors,Final - slow,1,135,3,0,0,0,0,0,0,0,152,0,0,0
1749,F,A,Boogie-Woogie-Seniors,Final - slow,2,42,3,0,0,0,0,0,0,0,152,0,0,0
1749,G,A,Boogie-Woogie-Seniors,Final - slow,1,135,4,0,0,0,0,0,0,0,152,0,0,0
1749,G,A,Boogie-Woogie-Seniors,Final - slow,2,42,4,0,0,0,0,0,0,0,152,0,0,0
1750,C,A,Boogie-Woogie-Main Class,Final - slow,1,369,1,0,0,0,0,0,0,0,152,0,0,0
1750,C,A,Boogie-Woogie-Main Class,Final - slow,2,24,1,0,0,0,0,0,0,0,152,0,0,0
1750,C,A,Boogie-Woogie-Main Class,Final - slow,3,257,1,0,0,0,0,0,0,0,152,0,0,0
1750,D,A,Boogie-Woogie-Main Class,Final - slow,1,369,2,0,0,0,0,0,0,0,152,0,0,0
1750,D,A,Boogie-Woogie-Main Class,Final - slow,2,24,2,0,0,0,0,0,0,0,152,0,0,0
1750,D,A,Boogie-Woogie-Main Class,Final - slow,3,257,2,0,0,0,0,0,0,0,152,0,0,0
1752,B,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,179,2,0,0,0,0,0,0,0,152,-1,-1,0
1752,B,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,148,2,0,0,0,0,0,0,0,152,-1,-1,0
1752,B,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,362,2,0,0,0,0,0,0,0,152,-1,-1,0
1752,B,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,283,2,0,0,0,0,0,0,0,152,-1,-1,0
1752,B,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,181,2,0,0,0,0,0,0,0,152,-1,-1,0
1752,B,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,36,2,0,0,0,0,0,0,0,152,-1,-1,0
1752,E,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,179,3,0,0,0,0,0,0,0,152,-1,-1,0
1752,E,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,148,3,0,0,0,0,0,0,0,152,-1,-1,0
1752,E,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,362,3,0,0,0,0,0,0,0,152,-1,-1,0
