rt_id,Judge,tip,Category,Round,Heat,Stn,stanica,Acro 1,Acro 2,Acro 3,Acro 4,Acro 5,Acro 6,bm,turnir,Acro_7,Acro_8,fall
1366,C,A,Rock'n'Roll-Main Class Contact Style,First round,1,71,3,-35,-15,-25,-35,-50,-1,0,123,-1,-1,0
1366,C,A,Rock'n'Roll-Main Class Contact Style,First round,1,362,3,-15,-25,-35,-15,-35,-1,0,123,-1,-1,0
1366,C,A,Rock'n'Roll-Main Class Contact Style,First round,2,224,3,-35,-15,-50,-35,-35,-1,0,123,-1,-1,0
1366,C,A,Rock'n'Roll-Main Class Contact Style,First round,2,181,3,-15,-75,-25,-50,-25,-1,0,123,-1,-1,0
1366,C,A,Rock'n'Roll-Main Class Contact Style,First round,3,117,3,-15,-75,-25,-15,-35,-1,0,123,-1,-1,0
1366,C,A,Rock'n'Roll-Main Class Contact Style,First round,3,19,3,-10,-35,-15,-75,-25,-1,0,123,-1,-1,0
1366,C,A,Rock'n'Roll-Main Class Contact Style,First round,4,283,3,-25,-15,-15,-25,-50,-1,0,123,-1,-1,0
1366,F,A,Rock'n'Roll-Main Class Contact Style,First round,1,71,6,-10,-10,-25,-25,-25,-1,0,123,-1,-1,0
1366,F,A,Rock'n'Roll-Main Class Contact Style,First round,1,362,6,-15,-10,-50,-10,-25,-1,0,123,-1,-1,0
1366,F,A,Rock'n'Roll-Main Class Contact Style,First round,2,224,6,-15,-15,-15,-25,-50,-1,0,123,-1,-1,0
1366,F,A,Rock'n'Roll-Main Class Contact Style,First round,2,181,6,-10,-50,-25,-50,-35,-1,0,123,-1,-1,0
1366,F,A,Rock'n'Roll-Main Class Contact Style,First round,3,117,6,-10,-75,-5,-15,-35,-1,0,123,-1,-1,0
1366,F,A,Rock'n'Roll-Main Class Contact Style,First round,3,19,6,-15,-5,-15,-50,-25,-1,0,123,-1,-1,0
1366,F,A,Rock'n'Roll-Main Class Contact Style,First round,4,283,6,-10,-10,-15,-25,-35,-1,0,123,-1,-1,0
1366,G,A,Rock'n'Roll-Main Class Contact Style,First round,1,71,7,-25,-10,-15,-10,-15,-1,0,123,-1,-1,0
1366,G,A,Rock'n'Roll-Main Class Contact Style,First round,1,362,7,-10,-10,-25,-10,-15,-1,0,123,-1,-1,0
1366,G,A,Rock'n'Roll-Main Class Contact Style,First round,2,224,7,-5,-5,-10,-10,-15,-1,0,123,-1,-1,0
1366,G,A,Rock'n'Roll-Main Class Contact Style,First round,2,181,7,-25,-50,-10,-50,-35,-1,0,123,-1,-1,0
1366,G,A,Rock'n'Roll-Main Class Contact Style,First round,3,117,7,-10,-75,-10,-15,-25,-1,0,123,-1,-1,0
1366,G,A,Rock'n'Roll-Main Class Contact Style,First round,3,19,7,-15,-10,-10,-75,-35,-1,0,123,-1,-1,0
1366,G,A,Rock'n'Roll-Main Class Contact Style,First round,4,283,7,-5,-10,-5,-10,-25,-1,0,123,-1,-1,0
1368,A,A,Rock'n'Roll-Main Class Start,Final,1,372,1,-25,-5,-10,-10,-10,-15,0,123,-1,-1,0
1368,E,A,Rock'n'Roll-Main Class Start,Final,1,372,5,-15,-10,-15,-10,-15,-25,0,123,-1,-1,0
1368,G,A,Rock'n'Roll-Main Class Start,Final,1,372,7,-15,-10,-10,-10,-15,-35,0,123,-1,-1,0
1369,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,71,3,0,0,0,0,0,0,0,123,-1,-1,0
1369,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,224,3,0,0,0,0,0,0,0,123,-1,-1,0
1369,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,181,3,0,0,0,0,0,0,0,123,-1,-1,0
1369,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,117,3,0,0,0,0,0,0,0,123,-1,-1,0
1369,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,362,3,0,0,0,0,0,0,0,123,-1,-1,0
1369,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,283,3,0,0,0,0,0,0,0,123,-1,-1,0
1369,F,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,71,6,0,0,0,0,0,0,0,123,-1,-1,0
1369,F,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,224,6,0,0,0,0,0,0,0,123,-1,-1,0
1369,F,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,181,6,0,0,0,0,0,0,0,123,-1,-1,0
1369,F,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,117,6,0,0,0,0,0,0,0,123,-1,-1,0
1369,F,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,362,6,0,0,0,0,0,0,0,123,-1,-1,0
1369,F,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,283,6,0,0,0,0,0,0,0,123,-1,-1,0
1369,G,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,71,7,0,0,0,0,0,0,0,123,-1,-1,0
1369,G,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,224,7,0,0,0,0,0,0,0,123,-1,-1,0
1369,G,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,181,7,0,0,0,0,0,0,0,123,-1,-1,0
1369,G,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,117,7,0,0,0,0,0,0,0,123,-1,-1,0
1369,G,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,362,7,0,0,0,0,0,0,0,123,-1,-1,0
1369,G,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,283,7,0,0,0,0,0,0,0,123,-1,-1,0
1370,B,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,1,86,2,0,0,0,0,0,0,0,123,-1,-1,0
1370,C,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,1,86,3,0,0,0,0,0,0,0,123,-1,-1,0
1370,D,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,1,86,4,0,0,0,0,0,0,0,123,-1,-1,0
1373,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,283,3,-75,-25,-15,-35,-35,-75,0,123,-1,-1,0
1373,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,71,3,-50,-50,-35,-75,-35,-50,0,123,-1,-1,0
1373,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,117,3,-15,-15,-25,-75,-35,-15,0,123,-1,-1,0
1373,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,362,3,-10,-15,-25,-25,-10,-35,0,123,-1,-1,0
1373,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,181,3,-25,-35,-35,-15,-35,-50,0,123,-1,-1,0
1373,C,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,224,3,-25,-35,-15,-75,-35,-35,0,123,-1,-1,0
1373,F,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,283,6,-50,-10,-15,-35,-15,-35,0,123,-1,-1,0
1373,F,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,71,6,-25,-25,-15,-75,-35,-25,0,123,-1,-1,0
1373,F,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,117,6,-15,-10,-25,-35,-15,-15,0,123,-1,-1,0
1373,F,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,362,6,0,-10,-15,-25,0,-25,0,123,-1,-1,0
1373,F,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,181,6,-15,-25,-25,-15,-35,-50,0,123,-1,-1,0
1373,F,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,224,6,-10,-10,-50,-35,-25,-35,0,123,-1,-1,0
1373,G,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,1,283,7,-75,-15,-15,-25,-35,-50,0,123,-1,-1,0
1373,G,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,2,71,7,-35,-35,-25,-75,-35,-35,0,123,-1,-1,0
1373,G,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,3,117,7,-15,-15,-25,-25,-15,-10,0,123,-1,-1,0
1373,G,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,4,362,7,-10,-25,-35,-35,-10,-25,0,123,-1,-1,0
1373,G,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,5,181,7,-35,-35,-50,-35,-50,-75,0,123,-1,-1,0
1373,G,A,Rock'n'Roll-Main Class Contact Style,Final - Acrobatic,6,224,7,-25,-25,-10,-75,-35,-35,0,123,-1,-1,0
1374,B,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,1,86,2,-15,-25,-10,-10,-25,-5,0,123,-1,-1,0
1374,C,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,1,86,3,-15,-35,-15,-15,-35,-25,0,123,-1,-1,0
1374,D,A,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,1,86,4,-35,-25,-15,-25,-35,-25,0,123,-1,-1,0
